conceptId	en	current_ru	status	suggested_ru	reason	source_basis
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	Вторая правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	FIX	Вторая Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	Третья правый передняя ветвь передняя межжелудочковая ветвь левый коронарная артерия	FIX	Третья Правая передняя ветвь передняя межжелудочковая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
FMA3892	septal branch of anterior interventricular artery	Перегородочная ветвь передняя межжелудочковая артерия	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA3895	circumflex branch of left coronary artery	Огибающая ветвь левый коронарная артерия	FIX	Огибающая ветвь Левая коронарная артерия	laterality	FMA; pattern consistency
FMA3932	brachiocephalic artery	Плечеголовной ствол	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA3939	common carotid artery	Общая сонная артерия	OK	Общая сонная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3941	right common carotid artery	Правый общая сонная артерия	FIX	Правая общая сонная артерия	laterality; lost_information	FMA; pattern consistency
FMA3947	internal carotid artery	Внутренняя сонная артерия	OK	Внутренняя сонная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3949	right internal carotid artery	Правый внутренняя сонная артерия	FIX	Правая внутренняя сонная артерия	laterality; lost_information	FMA; pattern consistency
FMA3951	subclavian artery	Подключичная артерия	OK	Подключичная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3953	right subclavian artery	Правый подключичная артерия	FIX	Правая подключичная артерия	laterality; lost_information	FMA; pattern consistency
FMA3956	vertebral artery	Позвоночная артерия	OK	Позвоночная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3958	right vertebral artery	Правый позвоночная артерия	FIX	Правая позвоночная артерия	laterality; lost_information	FMA; pattern consistency
FMA3960	internal thoracic artery	Внутренняя грудная артерия	OK	Внутренняя грудная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA3969	right internal thoracic artery	Правый внутренняя грудная артерия	FIX	Правая внутренняя грудная артерия	laterality; lost_information	FMA; pattern consistency
FMA3988	right superior epigastric artery	Правый верхняя надчревная артерия	FIX	Правая верхняя надчревная артерия	laterality; lost_information	FMA; pattern consistency
FMA3990	thyrocervical trunk	Щитовидно-шейный туловище	OK	Щитовидно-шейный туловище	checked: no structural quality flags	FMA; pattern consistency
FMA3992	right thyrocervical trunk	Правый щитовидно-шейный туловище	FIX	Правое щитовидно-шейный туловище	laterality; lost_information	FMA; pattern consistency
FMA3994	second posterior intercostal artery	Вторая задняя межрёберная артерия	OK	Вторая задняя межрёберная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA4057	right dorsal scapular artery	Правый тыльная лопаточная артерия	FIX	Правая тыльная лопаточная артерия	laterality; lost_information	FMA; pattern consistency
FMA4058	left common carotid artery	Левый общая сонная артерия	FIX	Левая общая сонная артерия	laterality; lost_information	FMA; pattern consistency
FMA4062	left internal carotid artery	Левый внутренняя сонная артерия	FIX	Левая внутренняя сонная артерия	laterality; lost_information	FMA; pattern consistency
FMA4066	left vertebral artery	Левый позвоночная артерия	FIX	Левая позвоночная артерия	laterality; lost_information	FMA; pattern consistency
FMA4068	left internal thoracic artery	Левый внутренняя грудная артерия	FIX	Левая внутренняя грудная артерия	laterality; lost_information	FMA; pattern consistency
FMA4077	left musculophrenic artery	Левый мышечно-диафрагмальная артерия	FIX	Левая мышечно-диафрагмальная артерия	laterality; lost_information	FMA; pattern consistency
FMA4083	left superior epigastric artery	Левый верхняя надчревная артерия	FIX	Левая верхняя надчревная артерия	laterality; lost_information	FMA; pattern consistency
FMA4084	left thyrocervical trunk	Левый щитовидно-шейный туловище	FIX	Левое щитовидно-шейный туловище	laterality; lost_information	FMA; pattern consistency
FMA4086	left costocervical trunk	Левый рёберно-шейный туловище	FIX	Левое рёберно-шейный туловище	laterality; lost_information	FMA; pattern consistency
FMA4088	left superior intercostal artery	Левый верхняя межрёберная артерия	FIX	Левая верхняя межрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA4112	left second posterior intercostal artery	Левый вторая задняя межрёберная артерия	FIX	Левая вторая задняя межрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA4134	left deep cervical artery	Левый глубокая шейная артерия	FIX	Левая глубокая шейная артерия	laterality; lost_information	FMA; pattern consistency
FMA4149	esophageal artery	Пищеводная артерия	OK	Пищеводная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA4176	posterior intercostal artery	Задняя межрёберная артерия	OK	Задняя межрёберная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA4613	subcostal artery	Подрёберная артерия	OK	Подрёберная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA4634	right subcostal artery	Правый подрёберная артерия	FIX	Правая подрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA4654	left subcostal artery	Левый подрёберная артерия	FIX	Левая подрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA4677	trunk of branch of coronary artery	Туловище ветвь коронарная артерия	OK	Туловище ветвь коронарная артерия	checked: no structural quality flags	FMA; pattern consistency
FMA4694	left subclavian artery	Левый подключичная артерия	FIX	Левая подключичная артерия	laterality; lost_information	FMA; pattern consistency
FMA4706	coronary sinus	Коронарная синус	OK	Коронарная синус	checked: no structural quality flags	FMA; pattern consistency
FMA4707	great cardiac vein	Большая сердечная вена	OK	Большая сердечная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4708	left marginal vein	Левый краевая вена	FIX	Левая краевая вена	laterality; lost_information	FMA; pattern consistency
FMA4712	posterior vein of left ventricle	Задняя вена левый желудочек	OK	Задняя вена левый желудочек	checked: no structural quality flags	FMA; pattern consistency
FMA4713	middle cardiac vein	Средняя сердечная вена	OK	Средняя сердечная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4714	small cardiac vein	Малая сердечная вена	OK	Малая сердечная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4716	right marginal vein	Правый краевая вена	FIX	Правая краевая вена	laterality; lost_information	FMA; pattern consistency
FMA4720	superior vena cava	Верхняя полая вена	OK	Верхняя полая вена	checked: no structural quality flags	FMA; pattern consistency
FMA4723	brachiocephalic vein	Плечеголовная вена	OK	Плечеголовная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4724	internal jugular vein	Внутренняя яремная вена	OK	Внутренняя яремная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4725	subclavian vein	Подключичная вена	OK	Подключичная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4729	internal thoracic vein	Внутренняя грудная вена	OK	Внутренняя грудная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4731	superior epigastric vein	Верхняя надчревная вена	OK	Верхняя надчревная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4732	musculophrenic vein	Мышечно-диафрагмальная вена	OK	Мышечно-диафрагмальная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4751	right brachiocephalic vein	Правый плечеголовная вена	FIX	Правая плечеголовная вена	laterality; lost_information	FMA; pattern consistency
FMA4754	right internal jugular vein	Правый внутренняя яремная вена	FIX	Правая внутренняя яремная вена	laterality; lost_information	FMA; pattern consistency
FMA4755	right subclavian vein	Правый подключичная вена	FIX	Правая подключичная вена	laterality; lost_information	FMA; pattern consistency
FMA4758	right internal thoracic vein	Правый внутренняя грудная вена	FIX	Правая внутренняя грудная вена	laterality; lost_information	FMA; pattern consistency
FMA4761	left brachiocephalic vein	Левый плечеголовная вена	FIX	Левая плечеголовная вена	laterality; lost_information	FMA; pattern consistency
FMA4762	left internal jugular vein	Левый внутренняя яремная вена	FIX	Левая внутренняя яремная вена	laterality; lost_information	FMA; pattern consistency
FMA4763	left subclavian vein	Левый подключичная вена	FIX	Левая подключичная вена	laterality; lost_information	FMA; pattern consistency
FMA4771	right superior epigastric vein	Правый верхняя надчревная вена	FIX	Правая верхняя надчревная вена	laterality; lost_information	FMA; pattern consistency
FMA4772	right musculophrenic vein	Правый мышечно-диафрагмальная вена	FIX	Правая мышечно-диафрагмальная вена	laterality; lost_information	FMA; pattern consistency
FMA4785	left superior epigastric vein	Левый верхняя надчревная вена	FIX	Левая верхняя надчревная вена	laterality; lost_information	FMA; pattern consistency
FMA4786	left musculophrenic vein	Левый мышечно-диафрагмальная вена	FIX	Левая мышечно-диафрагмальная вена	laterality; lost_information	FMA; pattern consistency
FMA4797	left superior intercostal vein	Левый верхняя межрёберная вена	FIX	Левая верхняя межрёберная вена	laterality; lost_information	FMA; pattern consistency
FMA4838	azygos vein	Непарная вена	OK	Непарная вена	checked: no structural quality flags	FMA; pattern consistency
FMA4843	right ascending lumbar vein	Правый восходящая поясничная вена	FIX	Правая восходящая поясничная вена	laterality; lost_information	FMA; pattern consistency
FMA4844	right subcostal vein	Правый подрёберная вена	FIX	Правая подрёберная вена	laterality; lost_information	FMA; pattern consistency
FMA4877	right superior intercostal vein	Правый верхняя межрёберная вена	FIX	Правая верхняя межрёберная вена	laterality; lost_information	FMA; pattern consistency
FMA4944	hemiazygos vein	Хэмиазйгос вена	OK	Хэмиазйгос вена	checked: no structural quality flags	FMA; pattern consistency
FMA4950	left ascending lumbar vein	Левый восходящая поясничная вена	FIX	Левая восходящая поясничная вена	laterality; lost_information	FMA; pattern consistency
FMA4951	left subcostal vein	Левый подрёберная вена	FIX	Левая подрёберная вена	laterality; lost_information	FMA; pattern consistency
FMA5011	accessory hemiazygos vein	Добавочная полунепарная вена	OK	Добавочная полунепарная вена	checked: no structural quality flags	FMA; pattern consistency
FMA5018	bone organ	Костный орган	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA5022	muscle organ	Мышечный орган	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA5039	right costocervical trunk	Правый рёберно-шейный туловище	FIX	Правое рёберно-шейный туловище	laterality; lost_information	FMA; pattern consistency
FMA5041	right second posterior intercostal artery	Правый вторая задняя межрёберная артерия	FIX	Правая вторая задняя межрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA5042	right superior intercostal artery	Правый верхняя межрёберная артерия	FIX	Правая верхняя межрёберная артерия	laterality; lost_information	FMA; pattern consistency
FMA5865	cranial nerve	Черепной нерв	OK	Черепной нерв	checked: no structural quality flags	FMA; pattern consistency
FMA5884	ganglion	Ганглий	OK	Ганглий	checked: no structural quality flags	FMA; pattern consistency
FMA5889	autonomic ganglion	Вегетативный ганглий	OK	Вегетативный ганглий	checked: no structural quality flags	FMA; pattern consistency
FMA5894	parasympathetic ganglion	Парасимпатическая ганглий	OK	Парасимпатическая ганглий	checked: no structural quality flags	FMA; pattern consistency
FMA5895	cranial parasympathetic ganglion	Черепной парасимпатическая ганглий	OK	Черепной парасимпатическая ганглий	checked: no structural quality flags	FMA; pattern consistency
FMA5897	anatomical space	Анатомическое пространство	OK	Анатомическое пространство	checked: no structural quality flags	FMA; pattern consistency
FMA5898	anatomical junction	Анатомическое соединение	OK	Анатомическое соединение	checked: no structural quality flags	FMA; pattern consistency
FMA5913	nerve trunk	Нерв туловище	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA6964	ciliary ganglion	Ресничная ганглий	OK	Ресничная ганглий	checked: no structural quality flags	FMA; pattern consistency
FMA7037	branch of ciliary ganglion	Ветвь ресничного узла	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7041	short ciliary nerve	Короткая ресничная нерв	OK	Короткая ресничная нерв	checked: no structural quality flags	FMA; pattern consistency
FMA7131	esophagus	Пищевод	OK	Пищевод	checked: no structural quality flags	FMA; pattern consistency
FMA7145	membrane organ	Мембранозный орган	OK	Мембранозный орган	checked: no structural quality flags	FMA; pattern consistency
FMA7146	organ component gland	Железа — компонент органа	OK	Железа — компонент органа	checked: no structural quality flags	FMA; pattern consistency
FMA7148	stomach	Желудок	OK	Желудок	checked: no structural quality flags	FMA; pattern consistency
FMA7163	skin	Кожа	OK	Кожа	checked: no structural quality flags	FMA; pattern consistency
FMA7196	spleen	Селезёнка	OK	Селезёнка	checked: no structural quality flags	FMA; pattern consistency
FMA7198	pancreas	Поджелудочная железа	OK	Поджелудочная железа	checked: no structural quality flags	FMA; pattern consistency
FMA7202	gallbladder	Желчный пузырь	OK	Желчный пузырь	checked: no structural quality flags	FMA; pattern consistency
FMA7203	kidney	Почка	OK	Почка	checked: no structural quality flags	FMA; pattern consistency
FMA7204	right kidney	Правая почка	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7205	left kidney	Левая почка	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7206	duodenum	Дуодэнум	OK	Дуодэнум	checked: no structural quality flags	FMA; pattern consistency
FMA7210	testis	Яичко	OK	Яичко	checked: no structural quality flags	FMA; pattern consistency
FMA7211	right testis	Правое яичко	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7212	left testis	Левое яичко	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7232	cusp of cardiac valve	Заслонка сердечного клапана	OK	Заслонка сердечного клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7237	leaflet of tricuspid valve	Створка трёхстворчатого клапана	OK	Створка трёхстворчатого клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7238	anterior leaflet of tricuspid valve	Передняя створка трёхстворчатого клапана	OK	Передняя створка трёхстворчатого клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7239	posterior leaflet of tricuspid valve	Задняя створка трёхстворчатого клапана	OK	Задняя створка трёхстворчатого клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7240	septal leaflet of tricuspid valve	Перегородочная створка трёхстворчатого клапана	OK	Перегородочная створка трёхстворчатого клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7241	leaflet of mitral valve	Створка митрального клапана	OK	Створка митрального клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7242	anterior leaflet of mitral valve	Передняя створка митрального клапана	OK	Передняя створка митрального клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7243	posterior leaflet of mitral valve	Задняя створка митрального клапана	OK	Задняя створка митрального клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7247	left anterior cusp of pulmonary valve	Левая передняя заслонка клапана лёгочного ствола	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7248	cusp of pulmonary valve	Заслонка клапана лёгочного ствола	OK	Заслонка клапана лёгочного ствола	checked: no structural quality flags	FMA; pattern consistency
FMA7249	right anterior cusp of pulmonary valve	Правая передняя заслонка клапана лёгочного ствола	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7250	posterior cusp of pulmonary valve	Задняя заслонка клапана лёгочного ствола	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7251	cusp of aortic valve	Заслонка аортального клапана	OK	Заслонка аортального клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7252	right posterior cusp of aortic valve	Правая задняя заслонка аортального клапана	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7253	anterior cusp of aortic valve	Передняя заслонка аортального клапана	OK	Передняя заслонка аортального клапана	checked: no structural quality flags	FMA; pattern consistency
FMA7254	left posterior cusp of aortic valve	Левая задняя заслонка аортального клапана	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7260	anterior papillary muscle of right ventricle	Передняя сосочковая мышца правого желудочка	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7261	posterior papillary muscle of right ventricle	Задняя сосочковая мышца правый желудочек	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7262	septal papillary muscle of right ventricle	Перегородочная сосочковая мышца правый желудочек	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7264	lateral papillary muscle of left ventricle	Латеральная сосочковая мышца левый желудочек	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7265	anterolateral head of lateral papillary muscle of left ventricle	Переднелатеральная головка латеральной сосочковой мышцы левого желудочка	NEEDS_EXTERNAL_REVIEW		other: complex multiword anatomical concept requires external terminology review	FMA; external review needed
FMA7394	trachea	Трахея	OK	Трахея	checked: no structural quality flags	FMA; pattern consistency
FMA7396	left main bronchus	Левый главный бронх	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7405	main bronchus	Главный бронх	OK	Главный бронх	checked: no structural quality flags	FMA; pattern consistency
FMA7409	bronchus	Бронх	OK	Бронх	checked: no structural quality flags	FMA; pattern consistency
FMA7474	long bone	Длинная кость	OK	Длинная кость	checked: no structural quality flags	FMA; pattern consistency
FMA7475	short bone	Короткая кость	OK	Короткая кость	checked: no structural quality flags	FMA; pattern consistency
FMA7476	flat bone	Плоская кость	OK	Плоская кость	checked: no structural quality flags	FMA; pattern consistency
FMA7477	irregular bone	Неправильная кость	OK	Неправильная кость	checked: no structural quality flags	FMA; pattern consistency
FMA7478	pneumatized bone	Пневматизированная кость	OK	Пневматизированная кость	checked: no structural quality flags	FMA; pattern consistency
FMA7486	manubrium	Рукоятка	OK	Рукоятка	checked: no structural quality flags	FMA; pattern consistency
FMA7487	body of sternum	Тело грудины	OK	Тело грудины	checked: no structural quality flags	FMA; pattern consistency
FMA7488	xiphoid process	Мечевидный отросток	OK	Мечевидный отросток	checked: no structural quality flags	FMA; pattern consistency
FMA7538	cartilage organ component	Хрящ орган компонент	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7574	rib	Ребро	NEEDS_EXTERNAL_REVIEW		lost_information: English semantic markers require manual terminology verification	FMA; external review needed
FMA7591	costal cartilage	Рёберная хрящ	FIX	рёберный хрящ	grammar	FMA; pattern consistency
FMA7592	true rib	Истинное ребро	OK	Истинное ребро	checked: no structural quality flags	FMA; pattern consistency
FMA7593	typical rib	Типичное ребро	OK	Типичное ребро	checked: no structural quality flags	FMA; pattern consistency
FMA7594	false rib	Ложное ребро	OK	Ложное ребро	checked: no structural quality flags	FMA; pattern consistency
FMA7595	floating rib	Плавающее ребро	OK	Плавающее ребро	checked: no structural quality flags	FMA; pattern consistency
FMA7596	atypical rib	Атипичное ребро	OK	Атипичное ребро	checked: no structural quality flags	FMA; pattern consistency
FMA7597	first rib	Первая ребро	FIX	первое ребро	grammar	FMA; pattern consistency
FMA7603	first costal cartilage	Первая рёберная хрящ	FIX	первый рёберный хрящ	grammar	FMA; pattern consistency
FMA7620	second rib	Вторая ребро	FIX	второе ребро	grammar	FMA; pattern consistency
FMA7638	third rib	Третья ребро	FIX	третье ребро	grammar	FMA; pattern consistency
FMA7646	retinaculum	Удерживатель	OK	Удерживатель	checked: no structural quality flags	FMA; pattern consistency
FMA7703	second costal cartilage	Вторая рёберная хрящ	FIX	второй рёберный хрящ	grammar	FMA; pattern consistency
FMA7741	third costal cartilage	Третья рёберная хрящ	FIX	третий рёберный хрящ	grammar	FMA; pattern consistency
FMA7749	fourth rib	Четвёртая ребро	FIX	четвёртое ребро	grammar	FMA; pattern consistency
FMA7768	fourth costal cartilage	Четвёртая рёберная хрящ	FIX	четвёртый рёберный хрящ	grammar	FMA; pattern consistency
FMA7776	fifth rib	Пятая ребро	FIX	пятое ребро	grammar	FMA; pattern consistency
FMA7795	fifth costal cartilage	Пятая рёберная хрящ	FIX	пятый рёберный хрящ	grammar	FMA; pattern consistency
FMA7822	sixth costal cartilage	Шестая рёберная хрящ	FIX	шестой рёберный хрящ	grammar	FMA; pattern consistency
FMA7830	seventh rib	Седьмая ребро	FIX	седьмое ребро	grammar	FMA; pattern consistency
FMA7849	seventh costal cartilage	Седьмая рёберная хрящ	FIX	седьмой рёберный хрящ	grammar	FMA; pattern consistency
FMA7857	right first rib	Правый первая ребро	FIX	Правое первое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA7875	right first costal cartilage	Правый первая рёберная хрящ	FIX	Правый первый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA7882	right second rib	Правый вторая ребро	FIX	Правое второе ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA7886	right second costal cartilage	Правый вторая рёберная хрящ	FIX	Правый второй рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA7909	right third rib	Правый третья ребро	FIX	Правое третье ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA7913	right third costal cartilage	Правый третья рёберная хрящ	FIX	Правый третий рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA7957	right fourth rib	Правый четвёртая ребро	FIX	Правое четвёртое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA7976	right fourth costal cartilage	Правый четвёртая рёберная хрящ	FIX	Правый четвёртый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA7987	left first rib	Левый первая ребро	FIX	Левое первое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8005	left first costal cartilage	Левый первая рёберная хрящ	FIX	Левый первый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8012	left second rib	Левый вторая ребро	FIX	Левое второе ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8031	left second costal cartilage	Левый вторая рёберная хрящ	FIX	Левый второй рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8039	left third rib	Левый третья ребро	FIX	Левое третье ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8058	left third costal cartilage	Левый третья рёберная хрящ	FIX	Левый третий рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8066	right fifth rib	Правый пятая ребро	FIX	Правое пятое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8070	right fifth costal cartilage	Правый пятая рёберная хрящ	FIX	Правый пятый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8093	left fifth rib	Левый пятая ребро	FIX	Левое пятое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8112	left fifth costal cartilage	Левый пятая рёберная хрящ	FIX	Левый пятый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8120	eighth rib	Восьмая ребро	FIX	восьмое ребро	grammar	FMA; pattern consistency
FMA8147	sixth rib	Шестая ребро	FIX	шестое ребро	grammar	FMA; pattern consistency
FMA8148	left fourth rib	Левый четвёртая ребро	FIX	Левое четвёртое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8167	left fourth costal cartilage	Левый четвёртая рёберная хрящ	FIX	Левый четвёртый рёберный хрящ	grammar; lost_information	FMA; pattern consistency
FMA8175	right sixth rib	Правый шестая ребро	FIX	Правое шестое ребро	laterality; grammar; lost_information	FMA; pattern consistency
FMA8194	right sixth costal cartilage	Правый шестая рёберная хрящ	FIX	Правый шестой рёберный хрящ	grammar; lost_information	FMA; pattern consistency
