conceptId	system	en	ru
FMA22813	arterial	Left anterior interosseous artery	
FMA50487	arterial	Left anterior parietal artery	
FMA13279	arterial	Left anterior segmental artery	
FMA50533	arterial	Left anterior spinal artery	
FMA50384	arterial	Left anterior temporal artery	
FMA43897	arterial	Left anterior tibial artery	
FMA43908	arterial	Left anterior tibial recurrent artery	
FMA22802	arterial	Left anterior ulnar recurrent artery	
FMA8634	arterial	Left apical segmental artery	
FMA69495	arterial	Left arcuate artery	
FMA22907	arterial	Left arteria princeps pollicis	
FMA22778	arterial	Left arteria radialis indicis	
FMA22656	arterial	Left axillary artery	
FMA22692	arterial	Left brachial artery	
FMA50348	arterial	Left callosomarginal artery	
FMA23181	arterial	Left circumflex scapular artery	
FMA14826	arterial	Left colic artery	
FMA4058	arterial	Left common carotid artery	
FMA14766	arterial	Left common iliac artery	
FMA22808	arterial	Left common interosseous artery	
FMA4086	arterial	Left costocervical trunk	
FMA22697	arterial	Left deep brachial artery	
FMA4134	arterial	Left deep cervical artery	
FMA22840	arterial	Left deep palmar arch	
FMA69515	arterial	Left deep plantar artery	
FMA22508	arterial	Left descending genicular artery	
FMA20819	arterial	Left dorsal artery of penis	
FMA22822	arterial	Left dorsal carpal branch of ulnar artery	
FMA10552	arterial	Left dorsal scapular artery	
FMA43917	arterial	Left dorsalis pedis artery	
FMA18807	arterial	Left external iliac artery	
FMA70250	arterial	Left femoral artery	
FMA85118	arterial	Left first common palmar digital artery	
FMA66243	arterial	Left first posterior intercostal artery	
FMA85124	arterial	Left fourth common palmar digital artery	
FMA14768	arterial	Left gastric artery	
FMA14796	arterial	Left gastro-epiploic artery	
FMA20689	arterial	Left inferior epigastric artery	
FMA43893	arterial	Left inferior lateral genicular artery	
FMA43891	arterial	Left inferior medial genicular artery	
FMA14747	arterial	Left inferior phrenic artery	
FMA69266	arterial	Left inferior suprarenal artery	
FMA10680	arterial	Left inferior thyroid artery	
FMA22713	arterial	Left inferior ulnar collateral artery	
FMA4062	arterial	Left internal carotid artery	
FMA18810	arterial	Left internal iliac artery	
FMA4068	arterial	Left internal thoracic artery	
FMA8646	arterial	Left lateral basal segmental artery	
FMA20802	arterial	Left lateral circumflex femoral artery	
FMA50444	arterial	Left lateral frontobasal artery	
FMA50644	arterial	Left lateral occipital artery	
FMA43932	arterial	Left lateral plantar artery	
FMA22589	arterial	Left lateral superior genicular artery	
FMA69491	arterial	Left lateral tarsal artery	
FMA22676	arterial	Left lateral thoracic artery	
FMA71710	arterial	Left lobe branch of left hepatic artery	
FMA8644	arterial	Left medial basal segmental artery	
FMA50344	arterial	Left medial frontobasal artery	
FMA50646	arterial	Left medial occipital artery	
FMA43930	arterial	Left medial plantar artery	
FMA22587	arterial	Left medial superior genicular artery	
FMA22563	arterial	Left middle genicular artery	
FMA14756	arterial	Left middle suprarenal artery	
FMA4077	arterial	Left musculophrenic artery	
FMA49870	arterial	Left ophthalmic artery	
FMA22865	arterial	Left palmar metacarpal artery	
FMA50360	arterial	Left pericallosal artery	
FMA43944	arterial	Left plantar arch	
FMA50381	arterial	Left polar temporal artery	
FMA77381	arterial	Left popliteal artery	
FMA8647	arterial	Left posterior basal segmental artery	
FMA22687	arterial	Left posterior circumflex humeral artery	
FMA50086	arterial	Left posterior communicating artery	
FMA50520	arterial	Left posterior inferior cerebellar artery	
FMA50673	arterial	Left posterior medial choroidal artery	
FMA50490	arterial	Left posterior parietal artery	
FMA8635	arterial	Left posterior segmental artery	
FMA43899	arterial	Left posterior tibial artery	
FMA22805	arterial	Left posterior ulnar recurrent artery	
FMA50478	arterial	Left prefrontal artery	
FMA50873	arterial	Left pulmonary artery	
FMA22734	arterial	Left radial artery	
FMA22766	arterial	Left radial recurrent artery	
FMA268669	arterial	Left recurrent interosseous artery	
FMA14753	arterial	Left renal artery	
FMA85120	arterial	Left second common palmar digital artery	
FMA4112	arterial	Left second posterior intercostal artery	
FMA50685	arterial	Left splenial artery	
FMA4694	arterial	Left subclavian artery	
FMA4654	arterial	Left subcostal artery	
FMA22679	arterial	Left subscapular artery	
FMA10683	arterial	Left superficial cervical artery	
FMA20736	arterial	Left superficial epigastric artery	
FMA43938	arterial	Left superficial medial plantar artery	
FMA22837	arterial	Left superficial palmar arterial arch	
FMA50575	arterial	Left superior cerebellar artery	
FMA4083	arterial	Left superior epigastric artery	
FMA4088	arterial	Left superior intercostal artery	
FMA8642	arterial	Left superior segmental artery	
FMA22708	arterial	Left superior ulnar collateral artery	
FMA10681	arterial	Left suprascapular artery	
FMA14760	arterial	Left testicular artery	
FMA50671	arterial	Left thalamogeniculate artery	
FMA50665	arterial	Left thalamoperforating artery	
FMA85122	arterial	Left third common palmar digital artery	
FMA66322	arterial	Left thoracodorsal artery	
FMA4084	arterial	Left thyrocervical trunk	
FMA10682	arterial	Left transverse cervical artery	
FMA22798	arterial	Left ulnar artery	
FMA4066	arterial	Left vertebral artery	
FMA14735	arterial	Lumbar artery	
FMA14831	arterial	Marginal artery of colon	
FMA3818	arterial	Marginal branch of right coronary artery	
FMA14824	arterial	Marginal colic artery	
FMA50567	arterial	Medial branch of left pontine artery	
FMA50582	arterial	Medial branch of left superior cerebellar artery	
FMA50566	arterial	Medial branch of right pontine artery	
FMA50581	arterial	Medial branch of right superior cerebellar artery	
FMA68706	arterial	Medial branch of right superior segmental artery	
FMA70450	arterial	Medial inferior segmental hepatic artery	
FMA23051	arterial	Medial proper palmar digital artery of left index finger	
FMA23050	arterial	Medial proper palmar digital artery of right index finger	
FMA85112	arterial	Medial proper palmar digital artery of right middle finger	
FMA23052	arterial	Medial proper palmar digital artery of right ring finger	
FMA70449	arterial	Medial superior segmental hepatic artery	
FMA68741	arterial	Mediobasal branch of right posterior basal segmental artery	
FMA14810	arterial	Middle colic artery	
FMA23125	arterial	Middle collateral branch of left deep brachial artery	
FMA23124	arterial	Middle collateral branch of right deep brachial artery	
FMA50681	arterial	Middle temporal branch of left lateral occipital artery	
FMA50468	arterial	Middle temporal branch of left middle cerebral artery	
FMA50680	arterial	Middle temporal branch of right lateral occipital artery	
FMA50467	arterial	Middle temporal branch of right middle cerebral artery	
FMA50358	arterial	Paracentral branch of left callosomarginal artery	
FMA50357	arterial	Paracentral branch of right callosomarginal artery	
FMA23064	arterial	Pectoral branch of left thoraco-acromial artery	
FMA23063	arterial	Pectoral branch of right thoraco-acromial artery	
FMA43956	arterial	Plantar metatarsal artery	
FMA50642	arterial	Postcommunicating part of left posterior cerebral artery	
FMA50641	arterial	Postcommunicating part of right posterior cerebral artery	
FMA68690	arterial	Posterior branch of lateral segmental artery	
FMA68677	arterial	Posterior branch of right anterior segmental artery	
FMA14817	arterial	Posterior cecal artery	
FMA70490	arterial	Posterior division of left renal artery	
FMA70489	arterial	Posterior division of right renal artery	
FMA70480	arterial	Posterior inferior pancreaticoduodenal artery	
FMA70446	arterial	Posterior inferior segmental hepatic artery	
FMA63822	arterial	Posterior intercostal arteries	
FMA3840	arterial	Posterior interventricular branch of right coronary artery	
FMA68673	arterial	Posterior part of right posterior segmental artery	
FMA86349	arterial	Posterior segmental branch of left renal artery	
FMA86348	arterial	Posterior segmental branch of right renal artery	
FMA14784	arterial	Posterior superior pancreaticoduodenal artery	
FMA70445	arterial	Posterior superior segmental hepatic artery	
FMA50471	arterial	Posterior temporal branch of left middle cerebral artery	
FMA50470	arterial	Posterior temporal branch of right middle cerebral artery	
FMA50354	arterial	Posteromedial branch of left callosomarginal artery	
FMA50353	arterial	Posteromedial branch of right callosomarginal artery	
FMA50661	arterial	Posteromedial central branch of left posterior cerebral artery	
FMA50660	arterial	Posteromedial central branch of right posterior cerebral artery	
FMA50640	arterial	Precommunicating part of left posterior cerebral artery	
FMA50639	arterial	Precommunicating part of right posterior cerebral artery	
FMA50362	arterial	Precuneal branch of left pericallosal artery	
FMA50361	arterial	Precuneal branch of right pericallosal artery	
FMA8612	arterial	Pulmonary trunk	
FMA23127	arterial	Radial collateral branch of left deep brachial artery	
FMA23126	arterial	Radial collateral branch of right deep brachial artery	
FMA50029	arterial	Right anterior cerebral artery	
FMA50088	arterial	Right anterior choroidal artery	
FMA22682	arterial	Right anterior circumflex humeral artery	
FMA22812	arterial	Right anterior interosseous artery	
FMA50486	arterial	Right anterior parietal artery	
FMA8620	arterial	Right anterior segmental artery	
FMA50532	arterial	Right anterior spinal artery	
FMA50383	arterial	Right anterior temporal artery	
FMA43896	arterial	Right anterior tibial artery	
FMA43907	arterial	Right anterior tibial recurrent artery	
FMA22801	arterial	Right anterior ulnar recurrent artery	
FMA69494	arterial	Right arcuate artery	
FMA22905	arterial	Right arteria princeps pollicis	
FMA22777	arterial	Right arteria radialis indicis	
FMA22655	arterial	Right axillary artery	
FMA22691	arterial	Right brachial artery	
FMA50347	arterial	Right callosomarginal artery	
FMA23180	arterial	Right circumflex scapular artery	
FMA14811	arterial	Right colic artery	
FMA3941	arterial	Right common carotid artery	
FMA14765	arterial	Right common iliac artery	
FMA22807	arterial	Right common interosseous artery	
FMA3807	arterial	Right conus artery	
FMA5039	arterial	Right costocervical trunk	
FMA22696	arterial	Right deep brachial artery	
FMA10660	arterial	Right deep cervical artery	
FMA22839	arterial	Right deep palmar arch	
FMA69514	arterial	Right deep plantar artery	
FMA22507	arterial	Right descending genicular artery	
FMA20818	arterial	Right dorsal artery of penis	
FMA22821	arterial	Right dorsal carpal branch of ulnar artery	
FMA4057	arterial	Right dorsal scapular artery	
FMA43916	arterial	Right dorsalis pedis artery	
FMA18806	arterial	Right external iliac artery	
FMA70249	arterial	Right femoral artery	
FMA22856	arterial	Right first common palmar digital artery	
FMA66242	arterial	Right first posterior intercostal artery	
FMA85123	arterial	Right fourth common palmar digital artery	
FMA14776	arterial	Right gastric artery	
FMA14781	arterial	Right gastro-epiploic artery	
FMA20688	arterial	Right inferior epigastric artery	
FMA43892	arterial	Right inferior lateral genicular artery	
FMA43890	arterial	Right inferior medial genicular artery	
FMA14746	arterial	Right inferior phrenic artery	
FMA69265	arterial	Right inferior suprarenal artery	
FMA10697	arterial	Right inferior thyroid artery	
FMA22712	arterial	Right inferior ulnar collateral artery	
FMA3949	arterial	Right internal carotid artery	
FMA18809	arterial	Right internal iliac artery	
FMA3969	arterial	Right internal thoracic artery	
FMA20801	arterial	Right lateral circumflex femoral artery	
FMA50443	arterial	Right lateral frontobasal artery	
FMA50643	arterial	Right lateral occipital artery	
FMA43931	arterial	Right lateral plantar artery	
FMA22588	arterial	Right lateral superior genicular artery	
FMA69490	arterial	Right lateral tarsal artery	
FMA22675	arterial	Right lateral thoracic artery	
FMA71708	arterial	Right lobe branch of right hepatic artery	
FMA50343	arterial	Right medial frontobasal artery	
FMA50645	arterial	Right medial occipital artery	
FMA43929	arterial	Right medial plantar artery	
FMA22586	arterial	Right medial superior genicular artery	
FMA22562	arterial	Right middle genicular artery	
FMA14755	arterial	Right middle suprarenal artery	
FMA10692	arterial	Right musculophrenic artery	
FMA49869	arterial	Right ophthalmic artery	
FMA22864	arterial	Right palmar metacarpal artery	
FMA50359	arterial	Right pericallosal artery	
FMA43943	arterial	Right plantar arch	
FMA50380	arterial	Right polar temporal artery	
FMA77380	arterial	Right popliteal artery	
FMA22685	arterial	Right posterior circumflex humeral artery	
FMA50085	arterial	Right posterior communicating artery	
FMA50519	arterial	Right posterior inferior cerebellar artery	
FMA50672	arterial	Right posterior medial choroidal artery	
FMA50489	arterial	Right posterior parietal artery	
FMA43898	arterial	Right posterior tibial artery	
FMA22804	arterial	Right posterior ulnar recurrent artery	
FMA50445	arterial	Right prefrontal artery	
FMA50872	arterial	Right pulmonary artery	
FMA22733	arterial	Right radial artery	
FMA22764	arterial	Right radial recurrent artery	
FMA268667	arterial	Right recurrent interosseous artery	
FMA14752	arterial	Right renal artery	
FMA85119	arterial	Right second common palmar digital artery	
FMA5041	arterial	Right second posterior intercostal artery	
FMA50684	arterial	Right splenial artery	
FMA3953	arterial	Right subclavian artery	
FMA4634	arterial	Right subcostal artery	
FMA22678	arterial	Right subscapular artery	
FMA10700	arterial	Right superficial cervical artery	
FMA20735	arterial	Right superficial epigastric artery	
FMA43937	arterial	Right superficial medial plantar artery	
FMA22835	arterial	Right superficial palmar arterial arch	
FMA50574	arterial	Right superior cerebellar artery	
FMA3988	arterial	Right superior epigastric artery	
FMA5042	arterial	Right superior intercostal artery	
FMA22707	arterial	Right superior ulnar collateral artery	
FMA10698	arterial	Right suprascapular artery	
FMA14759	arterial	Right testicular artery	
FMA50670	arterial	Right thalamogeniculate artery	
FMA50664	arterial	Right thalamoperforating artery	
FMA85121	arterial	Right third common palmar digital artery	
FMA66321	arterial	Right thoracodorsal artery	
FMA3992	arterial	Right thyrocervical trunk	
FMA10699	arterial	Right transverse cervical artery	
FMA22797	arterial	Right ulnar artery	
FMA68197	arterial	Right upper lobar artery	
FMA3958	arterial	Right vertebral artery	
FMA3874	arterial	Second right anterior branch of anterior interventricular branch of left coronary artery	
FMA3848	arterial	Second septal branch of right posterior interventricular artery	
FMA3892	arterial	Septal branch of anterior interventricular artery	
FMA71562	arterial	Set of calcaneal branches of posterior tibial artery	
FMA70821	arterial	Set of common plantar digital arteries	
FMA70801	arterial	Set of dorsal digital arteries	
FMA70800	arterial	Set of dorsal metacarpal arteries	
FMA71537	arterial	Set of oesophageal branches of thoracic aorta	
FMA70815	arterial	Set of perforating arteries	
FMA71564	arterial	Set of plantar digital arteries proper	
FMA71502	arterial	set of posterior temporal branches of lateral occipital artery	
FMA14830	arterial	Sigmoid artery	
FMA50367	arterial	Sphenoid part of left middle cerebral artery	
FMA50366	arterial	Sphenoid part of right middle cerebral artery	
FMA14773	arterial	Splenic artery	
FMA68693	arterial	Superior branch of medial segmental artery	
FMA68709	arterial	Superior branch of right superior segmental artery	
FMA8639	arterial	Superior lingular artery	
FMA14749	arterial	Superior mesenteric artery	
FMA14832	arterial	Superior rectal artery	
FMA86341	arterial	Superior segmental branch of left renal artery	
FMA86340	arterial	Superior segmental branch of right renal artery	
FMA50697	arterial	Superior vermian branch of medial branch of left superior cerebellar artery	
FMA50696	arterial	Superior vermian branch of medial branch of right superior cerebellar artery	
FMA50474	arterial	Temporo-occipital branch of left middle cerebral artery	
FMA50473	arterial	Temporo-occipital branch of right middle cerebral artery	
FMA3876	arterial	Third right anterior branch of anterior interventricular branch of left coronary artery	
FMA74912	arterial	Trunk of anterior interventricular branch of left coronary artery	
FMA76574	arterial	Trunk of gastroduodenal artery	
FMA76129	arterial	Trunk of inferior terminal branch of left middle cerebral artery	
FMA76128	arterial	Trunk of inferior terminal branch of right middle cerebral artery	
FMA3855	arterial	Trunk of left coronary artery	
FMA70457	arterial	Trunk of left hepatic artery	
FMA66364	arterial	Trunk of left renal artery	
FMA66564	arterial	Trunk of left thoraco-acromial artery	
FMA3802	arterial	Trunk of right coronary artery	
FMA70456	arterial	Trunk of right hepatic artery	
FMA66363	arterial	Trunk of right renal artery	
FMA66563	arterial	Trunk of right thoraco-acromial artery	
FMA66358	arterial	Trunk of superior mesenteric artery	
FMA70493	arterial	Ureteric segment of left renal artery	
FMA70492	arterial	Ureteric segment of right renal artery	
FMA7253	cardiac	Anterior cusp of aortic valve	
FMA7242	cardiac	Anterior leaflet of mitral valve	
FMA7238	cardiac	Anterior leaflet of tricuspid valve	
FMA9465	cardiac	Cavity of left atrium	
FMA9466	cardiac	Cavity of left ventricle	
FMA11359	cardiac	Cavity of right atrium	
FMA9291	cardiac	Cavity of right ventricle	
FMA78469	cardiac	Fourth ventricle	
FMA75351	cardiac	Interventricular foramen	
FMA7247	cardiac	Left anterior cusp of pulmonary valve	
FMA78450	cardiac	Left lateral ventricle	
FMA7254	cardiac	Left posterior cusp of aortic valve	
FMA7250	cardiac	Posterior cusp of pulmonary valve	
FMA7243	cardiac	Posterior leaflet of mitral valve	
FMA7239	cardiac	Posterior leaflet of tricuspid valve	
FMA7249	cardiac	Right anterior cusp of pulmonary valve	
FMA78449	cardiac	Right lateral ventricle	
FMA7252	cardiac	Right posterior cusp of aortic valve	
FMA7240	cardiac	Septal leaflet of tricuspid valve	
FMA78454	cardiac	Third ventricle	
FMA9531	cardiac	Wall of left atrium	
FMA9457	cardiac	Wall of right atrium	
FMA13884	cardiac	Wall of ventricle	
FMA49145	connective	Check ligament of left lateral rectus	
FMA49148	connective	Check ligament of left medial rectus	
FMA49144	connective	Check ligament of right lateral rectus	
FMA49147	connective	Check ligament of right medial rectus	
FMA55227	connective	Hyo-epiglottic ligament	
FMA23708	connective	Interosseous membrane of left forearm	
FMA35193	connective	Interosseous membrane of left leg	
FMA23707	connective	Interosseous membrane of right forearm	
FMA35192	connective	Interosseous membrane of right leg	
FMA264844	connective	Left calcaneal tendon	
FMA55252	connective	Left conus elasticus	
FMA55141	connective	Left lateral thyrohyoid ligament	
FMA44250	connective	Left long plantar ligament	
FMA55620	connective	Left pterygomandibular raphe	
FMA72311	connective	Left stylohyoid ligament	
FMA22426	connective	Left tensor fasciae latae	
FMA55134	connective	Left thyrohyoid membrane	
FMA55246	connective	Left vocal ligament	
FMA11336	connective	Linea alba	
FMA55237	connective	Median cricothyroid ligament	
FMA55138	connective	Median thyrohyoid ligament	
FMA55077	connective	Pharyngeal raphe	
FMA258847	connective	Right calcaneal tendon	
FMA55251	connective	Right conus elasticus	
FMA258850	connective	Right intermediate tendon	
FMA55140	connective	Right lateral thyrohyoid ligament	
FMA44249	connective	Right long plantar ligament	
FMA55619	connective	Right pterygomandibular raphe	
FMA72309	connective	Right stylohyoid ligament	
FMA22425	connective	Right tensor fasciae latae	
FMA55133	connective	Right thyrohyoid membrane	
FMA55245	connective	Right vocal ligament	
FMA46442	connective	tendinous arch of levator ani	
FMA54159	connective	Tendon of right levator palpebrae superioris	
FMA55230	connective	Thyro-epiglottic ligament	
FMA49068	connective	Trochlea of left superior oblique	
FMA49067	connective	Trochlea of right superior oblique	
FMA71868	digestive	Anterior inferior tributary of right hepatic biliary tree	
FMA71867	digestive	Anterior superior tributary of right hepatic biliary tree	
FMA14542	digestive	Appendix	
FMA14545	digestive	Ascending colon	
FMA13365	digestive	Caudate lobe of liver	
FMA71889	digestive	Caudate lobe tributary of left hepatic biliary tree	
FMA14668	digestive	Common hepatic duct	
FMA14539	digestive	Cystic duct	
FMA14547	digestive	Descending colon	
FMA14966	digestive	Distal part of ileum	
FMA16983	digestive	Distal part of jejunum	
FMA7206	digestive	Duodenum	
FMA7131	digestive	Esophagus	
FMA7202	digestive	Gallbladder	
FMA11338	digestive	Ileocecal junction	
FMA71888	digestive	Lateral inferior tributary of left hepatic biliary tree	
FMA71887	digestive	Lateral superior tributary of left hepatic biliary tree	
FMA76903	digestive	Left duct of caudate lobe of liver	
FMA14670	digestive	Left hepatic duct	
FMA59805	digestive	Left sublingual gland	
FMA59803	digestive	Left submandibular gland	
FMA71886	digestive	Medial inferior tributary of left hepatic biliary tree	
FMA71885	digestive	Medial superior tributary of left hepatic biliary tree	
FMA14643	digestive	Mesentery of small intestine	
FMA16549	digestive	Mesoappendix	
FMA14965	digestive	Middle part of ileum	
FMA16982	digestive	Middle part of jejunum	
FMA7198	digestive	Pancreas	
FMA10419	digestive	Pancreatic duct	
FMA63103	digestive	Pancreatic duct tree	
FMA63120	digestive	Parenchyma of pancreas	
FMA71870	digestive	Posterior inferior tributary of right hepatic biliary tree	
FMA71869	digestive	Posterior superior tributary of right hepatic biliary tree	
FMA14964	digestive	Proximal part of ileum	
FMA16981	digestive	Proximal part of jejunum	
FMA14544	digestive	Rectum	
FMA14669	digestive	Right hepatic duct	
FMA59804	digestive	Right sublingual gland	
FMA59802	digestive	Right submandibular gland	
FMA7148	digestive	Stomach	
FMA15044	digestive	Taenia libera	
FMA15042	digestive	Taenia mesocolica	
FMA15043	digestive	Taenia omentalis	
FMA54640	digestive	Tongue	
FMA14546	digestive	Transverse colon	
FMA14647	digestive	Transverse mesocolon	
FMA15630	endocrine	Left adrenal gland	
FMA62033	endocrine	Pineal body	
FMA13889	endocrine	Pituitary gland	
FMA15629	endocrine	Right adrenal gland	
FMA54237	integumentary	Eyebrow	
FMA54241	integumentary	Hair of head	
FMA59816	integumentary	Lip	
FMA54319	integumentary	Pubic hair	
FMA7163	integumentary	Skin	
FMA71195	lymphatic	Left lobe of thymus	
FMA71194	lymphatic	Right lobe of thymus	
FMA7196	lymphatic	Spleen	
FMA45875	muscular	Abdominal part of left pectoralis major	
FMA45874	muscular	Abdominal part of right pectoralis major	
FMA37464	muscular	Abductor digiti minimi of left foot	
FMA37397	muscular	Abductor digiti minimi of left hand	
FMA37463	muscular	Abductor digiti minimi of right foot	
FMA37396	muscular	Abductor digiti minimi of right hand	
FMA34683	muscular	Acromial part of left deltoid	
FMA34682	muscular	Acromial part of right deltoid	
FMA7260	muscular	Anterior papillary muscle of right ventricle	
FMA7265	muscular	Anterolateral head of lateral papillary muscle of left ventricle	
FMA33583	muscular	Ascending part of left trapezius	
FMA33581	muscular	Ascending part of right trapezius	
FMA34681	muscular	Clavicular part of left deltoid	
FMA34691	muscular	Clavicular part of left pectoralis major	
FMA34680	muscular	Clavicular part of right deltoid	
FMA34690	muscular	Clavicular part of right pectoralis major	
FMA33587	muscular	Descending part of left trapezius	
FMA33586	muscular	Descending part of right trapezius	
FMA13295	muscular	Diaphragm	
FMA21930	muscular	External anal sphincter	
FMA9756	muscular	external intercostal muscle	
FMA37718	muscular	First lumbrical of left foot	
FMA37717	muscular	First lumbrical of right foot	
FMA37746	muscular	First plantar interosseous of left foot	
FMA37745	muscular	First plantar interosseous of right foot	
FMA37472	muscular	Flexor digiti minimi brevis of left foot	
FMA37399	muscular	Flexor digiti minimi brevis of left hand	
FMA37471	muscular	Flexor digiti minimi brevis of right foot	
FMA37398	muscular	Flexor digiti minimi brevis of right hand	
FMA37484	muscular	Fourth lumbrical of left foot	
FMA37483	muscular	Fourth lumbrical of right foot	
FMA38618	muscular	Humeral head of left flexor carpi ulnaris	
FMA38561	muscular	Humeral head of left pronator teres	
FMA38617	muscular	Humeral head of right flexor carpi ulnaris	
FMA38560	muscular	Humeral head of right pronator teres	
FMA46288	muscular	Inferior oblique part of left longus colli	
FMA9758	muscular	innermost intercostal muscle	
