conceptId	en	current_ru	problem_type	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA55699	left upper first secondary molar tooth	Левый верхняя первая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний первый постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55700	left upper second secondary molar tooth	Левый верхняя вторая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний второй постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55703	left lower second secondary molar tooth	Левый нижняя вторая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний второй постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55704	left lower first secondary molar tooth	Левый нижняя первая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний первый постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55705	right lower first secondary molar tooth	Правый нижняя первая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний первый постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55706	right lower second secondary molar tooth	Правый нижняя вторая вторичная моляр зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний второй постоянный моляр	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55798	right upper secondary canine tooth	Правый верхняя вторичная клык зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый верхний постоянный клык	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA55799	left upper secondary canine tooth	Левый верхняя вторичная клык зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый верхний постоянный клык	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA57140	right lower lateral secondary incisor tooth	Правый нижняя латеральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний латеральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA57141	left lower lateral secondary incisor tooth	Левый нижняя латеральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний латеральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA57142	right lower central secondary incisor tooth	Правый нижняя центральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Правый нижний центральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA57143	left lower central secondary incisor tooth	Левый нижняя центральная вторичная резец зуб	GENDER|AGREEMENT	NO_MATCH			APPLY	HIGH	Левый нижний центральный постоянный резец	Однозначная русская стоматологическая форма: сторона, верхняя/нижняя челюсть, положение и постоянный зуб сохранены; «tooth» не дублируется после названия типа зуба.
FMA64989	heterogeneous cluster	Хэтэрогэнэоус клустэр	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA64990	organ part cluster	Орган часть клустэр	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA65551	subdivisionof autonomic nervous system	Субдивисионоф вегетативная нервная система	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA78590	set of heterogeneous clusters	Совокупность хэтэрогэнэоус клустэрс	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA83115	cell part cluster	Кэлл часть клустэр	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA20226	right side of bony pelvis	Правый сидэ костный таз	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA20227	left side of bony pelvis	Левый сидэ костный таз	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA59748	right side of internal nose	Правый сидэ внутренняя нос	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
FMA59749	left side of internal nose	Левый сидэ внутренняя нос	TRANSLITERATION	NO_MATCH			DEFER	LOW		NO_MATCH в TA mapping; служебный FMA aggregate или структура с неоднозначным русским эквивалентом оставлена для внешнего медицинского редактора.
