conceptId	en	ru	aliases
FMA22806	common interosseous artery		
FMA22923	common palmar digital vein		
FMA49071	common tendinous ring		
FMA52674	communicating branch of left nasociliary nerve with left ciliary ganglion		
FMA52672	communicating branch of nasociliary nerve with ciliary ganglion		
FMA52673	communicating branch of right nasociliary nerve with right ciliary ganglion		
FMA85031	compartment of abdomen		
FMA85008	compartment of thorax		
FMA46620	constrictor muscle of pharynx		
FMA259248	content of abdomen		
FMA79275	content of inferior mediastinum		
FMA79273	content of mediastinum		
FMA79278	content of middle mediastinum		
FMA79277	content of posterior mediastinum		
FMA79274	content of superior mediastinum		
FMA79269	content of thorax		
FMA3868	conus branch of anterior interventricular branch of left coronary artery		
FMA55250	conus elasticus		
FMA37664	coracobrachialis		
FMA58238	cornea		
FMA55110	corniculate cartilage		
FMA58431	corona ciliaris		
FMA49893	coronary artery		
FMA4706	coronary sinus		
FMA50308	coronary sinus tree		
FMA86464	corpus callosum		
FMA242182	cortex of left cerebral hemisphere		
FMA242209	cortex of left frontal lobe		
FMA242180	cortex of right cerebral hemisphere		
FMA242207	cortex of right frontal lobe		
FMA7591	costal cartilage		
FMA10636	costocervical trunk		
FMA5865	cranial nerve		
FMA5895	cranial parasympathetic ganglion		
FMA9615	cricoid cartilage		
FMA55233	cricothyroid ligament		
FMA24527	cuboid bone		
FMA24517	cuneiform bone		
FMA55111	cuneiform cartilage		
FMA14539	cystic duct		
FMA9649	decussation		
FMA22695	deep brachial artery		
FMA10659	deep cervical artery		
FMA21354	deep dorsal vein of penis		
FMA32518	deep extrinsic muscle of shoulder		
FMA79063	deep fascial system		
FMA51041	deep femoral vein		
FMA38475	deep muscle of anterior compartment of forearm		
FMA38509	deep muscle of posterior compartment of forearm		
FMA65008	deep muscle of posterior compartment of leg		
FMA22838	deep palmar arterial arch		
FMA22911	deep palmar venous arch		
FMA69513	deep plantar artery		
FMA32561	deep postvertebral muscle		
FMA23073	deltoid branch of left thoraco-acromial artery		
FMA23072	deltoid branch of right thoraco-acromial artery		
FMA23067	deltoid branch of thoraco-acromial artery		
FMA3784	descending aorta		
FMA20805	descending branch of lateral circumflex femoral artery		
FMA14829	descending branch of left colic artery		
FMA21423	descending branch of left lateral circumflex femoral artery		
FMA21422	descending branch of right lateral circumflex femoral artery		
FMA14547	descending colon		
FMA22506	descending genicular artery		
FMA33587	descending part of left trapezius		
FMA33586	descending part of right trapezius		
FMA32557	descending part of trapezius		
FMA87217	descending thoracic aorta		
FMA3860	diagonal branch of anterior descending branch of left coronary artery		
FMA13295	diaphragm		
FMA62001	diencephalon		
FMA46291	digastric		
FMA69713	digital artery of foot		
FMA33303	distal carpal bone		
FMA14966	distal part of ileum		
FMA16983	distal part of jejunum		
FMA69517	distal perforating artery		
FMA32627	distal phalanx of big toe		
FMA32630	distal phalanx of fourth toe		
FMA23946	distal phalanx of index finger		
FMA32651	distal phalanx of left big toe		
FMA32657	distal phalanx of left fourth toe		
FMA23953	distal phalanx of left index finger		
FMA23959	distal phalanx of left little finger		
FMA32659	distal phalanx of left little toe		
FMA23955	distal phalanx of left middle finger		
FMA23957	distal phalanx of left ring finger		
FMA32653	distal phalanx of left second toe		
FMA32655	distal phalanx of left third toe		
FMA23951	distal phalanx of left thumb		
FMA23949	distal phalanx of little finger		
FMA32631	distal phalanx of little toe		
FMA23947	distal phalanx of middle finger		
FMA32650	distal phalanx of right big toe		
FMA32656	distal phalanx of right fourth toe		
FMA24460	distal phalanx of right index finger		
FMA24463	distal phalanx of right little finger		
FMA32658	distal phalanx of right little toe		
FMA24461	distal phalanx of right middle finger		
FMA24462	distal phalanx of right ring finger		
FMA32652	distal phalanx of right second toe		
FMA32654	distal phalanx of right third toe		
FMA24459	distal phalanx of right thumb		
FMA23948	distal phalanx of ring finger		
FMA32628	distal phalanx of second toe		
FMA32629	distal phalanx of third toe		
FMA23945	distal phalanx of thumb		
FMA19795	dorsal artery of penis		
FMA22773	dorsal carpal branch of left radial artery		
FMA22755	dorsal carpal branch of radial artery		
FMA22772	dorsal carpal branch of right radial artery		
FMA22820	dorsal carpal branch of ulnar artery		
FMA44660	dorsal digital artery of foot		
FMA22954	dorsal metacarpal vein		
FMA14787	dorsal pancreatic artery		
FMA79658	dorsal scapular artery		
FMA44356	dorsal venous arch of foot		
FMA44882	dorsal venous arch of left foot		
FMA44881	dorsal venous arch of right foot		
FMA67977	dorsal venous network of hand		
FMA62507	dorsal venous network of left hand		
FMA62506	dorsal venous network of right hand		
FMA43915	dorsalis pedis artery		
FMA59517	dorsum of nose		
FMA30320	duct		
FMA7206	duodenum		
FMA8120	eighth rib		
FMA26100	eighth thoracic intervertebral symphysis		
FMA9991	eighth thoracic vertebra		
FMA8499	eleventh rib		
FMA26103	eleventh thoracic intervertebral symphysis		
FMA10059	eleventh thoracic vertebra		
FMA9668	endocrine system		
FMA55130	epiglottis		
FMA62009	epithalamus		
FMA4149	esophageal artery		
FMA7131	esophagus		
FMA52740	ethmoid		
FMA38497	extensor carpi radialis brevis		
FMA38494	extensor carpi radialis longus		
FMA38506	extensor carpi ulnaris		
FMA38503	extensor digiti minimi		
FMA38500	extensor digitorum		
FMA22534	extensor digitorum longus		
FMA51141	extensor hallucis brevis		
FMA22533	extensor hallucis longus		
FMA38524	extensor indicis		
FMA38518	extensor pollicis brevis		
FMA38521	extensor pollicis longus		
FMA21930	external anal sphincter		
FMA52781	external ear		
FMA18805	external iliac artery		
FMA18883	external iliac vein		
FMA9756	external intercostal muscle		
FMA59515	external nose		
FMA13335	external oblique		
FMA49033	extra-ocular muscle		
FMA14678	extrahepatic bile duct		
FMA54921	extrinsic ligament of larynx		
FMA32516	extrinsic muscle of shoulder		
FMA46699	extrinsic muscle of tongue		
FMA54237	eyebrow		
FMA24728	face		
FMA7594	false rib		
FMA51045	fascia lata of left thigh		
FMA51044	fascia lata of right thigh		
