conceptId	en	current_ru	problem_type	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA22839	right deep palmar arch	Правый глубокая ладонная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus palmaris profundus	deep palmar arch	APPLY	HIGH	Правая глубокая ладонная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22840	left deep palmar arch	Левый глубокая ладонная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus palmaris profundus	deep palmar arch	APPLY	HIGH	Левая глубокая ладонная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22912	right deep palmar venous arch	Правый глубокая ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая глубокая ладонная венозная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22913	left deep palmar venous arch	Левый глубокая ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая глубокая ладонная венозная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22915	right superficial palmar venous arch	Правый поверхностная ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая поверхностная ладонная венозная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA22916	left superficial palmar venous arch	Левый поверхностная ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая поверхностная ладонная венозная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA23089	right lumbar rotator	Правый поясничная вращатель	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правый поясничный вращатель	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA23090	left lumbar rotator	Левый поясничная вращатель	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левый поясничный вращатель	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32544	right supraspinatus	Правый надостная	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая надостная мышца	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32545	left supraspinatus	Левый надостная	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая надостная мышца	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32634	proximal phalanx of right second toe	Проксимальная фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Проксимальная фаланга правого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32635	proximal phalanx of left second toe	Проксимальная фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Проксимальная фаланга левого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32638	proximal phalanx of right fourth toe	Проксимальная фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Проксимальная фаланга правого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32639	proximal phalanx of left fourth toe	Проксимальная фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Проксимальная фаланга левого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32642	middle phalanx of right second toe	Средняя фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Средняя фаланга правого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32643	middle phalanx of left second toe	Средняя фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Средняя фаланга левого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32646	middle phalanx of right fourth toe	Средняя фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Средняя фаланга правого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32647	middle phalanx of left fourth toe	Средняя фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Средняя фаланга левого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32652	distal phalanx of right second toe	Дистальная фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Дистальная фаланга правого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32653	distal phalanx of left second toe	Дистальная фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Дистальная фаланга левого второго пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32656	distal phalanx of right fourth toe	Дистальная фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Дистальная фаланга правого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA32657	distal phalanx of left fourth toe	Дистальная фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Дистальная фаланга левого четвёртого пальца стопы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA38495	right extensor carpi radialis longus	Правый длинная лучевая мышца, разгибающая запястье	LATERALITY|GRAMMAR	PROBABLE	extensor radialis longus carpi	extensor carpi radialis longus	APPLY	HIGH	Правая длинная лучевая мышца, разгибающая запястье	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA38496	left extensor carpi radialis longus	Левый длинная лучевая мышца, разгибающая запястье	LATERALITY|GRAMMAR	PROBABLE	extensor radialis longus carpi	extensor carpi radialis longus	APPLY	HIGH	Левая длинная лучевая мышца, разгибающая запястье	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA38498	right extensor carpi radialis brevis	Правый короткая лучевая мышца, разгибающая запястье	LATERALITY|GRAMMAR	PROBABLE	extensor radialis brevis carpi	extensor carpi radialis brevis	APPLY	HIGH	Правая короткая лучевая мышца, разгибающая запястье	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA38499	left extensor carpi radialis brevis	Левый короткая лучевая мышца, разгибающая запястье	LATERALITY|GRAMMAR	PROBABLE	extensor radialis brevis carpi	extensor carpi radialis brevis	APPLY	HIGH	Левая короткая лучевая мышца, разгибающая запястье	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA42603	organ component cluster	Орган компонент клустэр	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA43943	right plantar arch	Правый подошвенная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus plantaris	plantar arch	APPLY	HIGH	Правая подошвенная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA43944	left plantar arch	Левый подошвенная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus plantaris	plantar arch	APPLY	HIGH	Левая подошвенная дуга	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA45826	right stylohyoid	Правый шилоподъязычная	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая шилоподъязычная мышца	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA45827	left stylohyoid	Левый шилоподъязычная	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая шилоподъязычная мышца	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA46284	superior oblique part of left longus colli	Верхняя косая мышца часть левый длинная колли	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Верхняя косая часть левой длинной мышцы шеи	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA46286	vertical intermediate part of left longus colli	Вертикальная промежуточная часть левый длинная колли	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Вертикальная промежуточная часть левой длинной мышцы шеи	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA46288	inferior oblique part of left longus colli	Нижняя косая мышца часть левый длинная колли	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Нижняя косая часть левой длинной мышцы шеи	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA46309	right longus capitis	Правый длинная головки	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая длинная мышца головы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA46310	left longus capitis	Левый длинная головки	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая длинная мышца головы	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA49072	right common tendinous ring	Правый общая сухожильная кольцо	LATERALITY|GRAMMAR	PROBABLE	anulus tendineus communis	common tendinous ring	APPLY	HIGH	Правое общее сухожильное кольцо	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA49073	left common tendinous ring	Левый общая сухожильная кольцо	LATERALITY|GRAMMAR	PROBABLE	anulus tendineus communis	common tendinous ring	APPLY	HIGH	Левое общее сухожильное кольцо	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA49443	anatomical cluster	Анатомический кластер	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA52629	right lacrimal nerve	Правый слёзная нерв	LATERALITY|GRAMMAR	PROBABLE	nervus lacrimalis	lacrimal nerve	APPLY	HIGH	Правый слёзный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA52630	left lacrimal nerve	Левый слёзная нерв	LATERALITY|GRAMMAR	PROBABLE	nervus lacrimalis	lacrimal nerve	APPLY	HIGH	Левый слёзный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA52639	right frontal nerve	Правый лобная нерв	LATERALITY|GRAMMAR	PROBABLE	nervus frontalis	frontal nerve	APPLY	HIGH	Правый лобный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA52640	left frontal nerve	Левый лобная нерв	LATERALITY|GRAMMAR	PROBABLE	nervus frontalis	frontal nerve	APPLY	HIGH	Левый лобный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA53549	right ciliary ganglion	Правый ресничная ганглий	LATERALITY|GRAMMAR	PROBABLE	ganglion ciliare	ciliary ganglion	APPLY	HIGH	Правый ресничный ганглий	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA53550	left ciliary ganglion	Левый ресничная ганглий	LATERALITY|GRAMMAR	PROBABLE	ganglion ciliare	ciliary ganglion	APPLY	HIGH	Левый ресничный ганглий	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA58299	right choroid	Правый сосудистая оболочка	LATERALITY|GRAMMAR	PROBABLE	chorioidea	choroid	APPLY	HIGH	Правая сосудистая оболочка	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA58300	left choroid	Левый сосудистая оболочка	LATERALITY|GRAMMAR	PROBABLE	chorioidea	choroid	APPLY	HIGH	Левая сосудистая оболочка	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59102	right lacrimal gland	Правый слёзная железа	LATERALITY|GRAMMAR	PROBABLE	glandula lacrimalis	lacrimal gland	APPLY	HIGH	Правая слёзная железа	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59103	left lacrimal gland	Левый слёзная железа	LATERALITY|GRAMMAR	PROBABLE	glandula lacrimalis	lacrimal gland	APPLY	HIGH	Левая слёзная железа	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59505	right major alar cartilage	Правый большая алар хрящ	LATERALITY|GRAMMAR	PROBABLE	cartilago alaris major	major alar cartilage	APPLY	HIGH	Правый большой крыльный хрящ	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59506	left major alar cartilage	Левый большая алар хрящ	LATERALITY|GRAMMAR	PROBABLE	cartilago alaris major	major alar cartilage	APPLY	HIGH	Левый большой крыльный хрящ	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59512	right lateral nasal cartilage	Правый латеральная носовая хрящ	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правый латеральный носовой хрящ	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59513	left lateral nasal cartilage	Левый латеральная носовая хрящ	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левый латеральный носовой хрящ	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59541	right lacrimal lake	Правый слёзная озеро	LATERALITY|GRAMMAR	PROBABLE	lacus lacrimalis	lacus lacrimalis	APPLY	HIGH	Правое слёзное озеро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59542	left lacrimal lake	Левый слёзная озеро	LATERALITY|GRAMMAR	PROBABLE	lacus lacrimalis	lacus lacrimalis	APPLY	HIGH	Левое слёзное озеро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59545	right lacrimal sac	Правый слёзная сак	LATERALITY|GRAMMAR	PROBABLE	saccus lacrimalis	lacrimal sac	APPLY	HIGH	Правый слёзный мешок	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59546	left lacrimal sac	Левый слёзная сак	LATERALITY|GRAMMAR	PROBABLE	saccus lacrimalis	lacrimal sac	APPLY	HIGH	Левый слёзный мешок	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59582	right lacrimal canaliculus	Правый слёзная каналикулус	LATERALITY|GRAMMAR	PROBABLE	canaliculus lacrimalis	lacrimal canaliculus	APPLY	HIGH	Правый слёзный канальчик	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA59583	left lacrimal canaliculus	Левый слёзная каналикулус	LATERALITY|GRAMMAR	PROBABLE	canaliculus lacrimalis	lacrimal canaliculus	APPLY	HIGH	Левый слёзный канальчик	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA64989	heterogeneous cluster	Хэтэрогэнэоус клустэр	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA64990	organ part cluster	Орган часть клустэр	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA65551	subdivisionof autonomic nervous system	Субдивисионоф вегетативная нервная система	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA68211	right apical segmental bronchial tree	Правый верхушечная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правое верхушечное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA68218	right medial basal segmental bronchial tree	Правый медиальная базальная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правое медиальное базальное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA68220	right lateral basal segmental bronchial tree	Правый латеральная базальная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правое латеральное базальное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA68223	left apical segmental bronchial tree	Левый верхушечная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левое верхушечное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA68230	left medial basal segmental bronchial tree	Левый медиальная базальная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левое медиальное базальное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA68232	left lateral basal segmental bronchial tree	Левый латеральная базальная сегментарный бронхиальная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левое латеральное базальное сегментарное бронхиальное дерево	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA70489	posterior division of right renal artery	Задняя дивисион правый почечная артерия	TRANSLITERATION|LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задний отдел правой почечной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA70490	posterior division of left renal artery	Задняя дивисион левый почечная артерия	TRANSLITERATION|LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задний отдел левой почечной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71709	subdivision of right lobe branch of right hepatic artery	Подразделение правый доля ветвь правый печёночная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Подразделение правой долевой ветви правой печёночной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71736	subdivision of left lobe branch of left hepatic artery	Подразделение левый доля ветвь левый печёночная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Подразделение левой долевой ветви левой печёночной артерии	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71859	segment of right hepatic biliary tree	Сегмент правый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Сегмент правого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71860	segment of left hepatic biliary tree	Сегмент левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Сегмент левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71865	segmental tributary of right hepatic biliary tree	Сегментарный приток правый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Сегментарный приток правого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71866	segmental tributary of left hepatic biliary tree	Сегментарный приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Сегментарный приток левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71869	posterior superior tributary of right hepatic biliary tree	Задняя верхняя приток правый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задний верхний приток правого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71870	posterior inferior tributary of right hepatic biliary tree	Задняя нижняя приток правый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задний нижний приток правого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71885	medial superior tributary of left hepatic biliary tree	Медиальная верхняя приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Медиальный верхний приток левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71886	medial inferior tributary of left hepatic biliary tree	Медиальная нижняя приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Медиальный нижний приток левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71887	lateral superior tributary of left hepatic biliary tree	Латеральная верхняя приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральный верхний приток левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71888	lateral inferior tributary of left hepatic biliary tree	Латеральная нижняя приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральный нижний приток левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA71889	caudate lobe tributary of left hepatic biliary tree	Хвостатая доля приток левый печёночная желчная дерево	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Приток хвостатой доли левого печёночного желчного дерева	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA72826	right caudate nucleus	Правый хвостатая ядро	LATERALITY|GRAMMAR	PROBABLE	nucleus caudatus	caudate nucleus	APPLY	HIGH	Правое хвостатое ядро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA72827	left caudate nucleus	Левый хвостатая ядро	LATERALITY|GRAMMAR	PROBABLE	nucleus caudatus	caudate nucleus	APPLY	HIGH	Левое хвостатое ядро	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA72832	right amygdala	Правый миндалевидное тело	LATERALITY|GRAMMAR	PROBABLE	corpus amygdaloideum	amygdaloid body	APPLY	HIGH	Правое миндалевидное тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA72833	left amygdala	Левый миндалевидное тело	LATERALITY|GRAMMAR	PROBABLE	corpus amygdaloideum	amygdaloid body	APPLY	HIGH	Левое миндалевидное тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA73303	right lateral geniculate body	Правый латеральная гэникулатэ тело	LATERALITY|GRAMMAR	PROBABLE	corpus geniculatum laterale	lateral geniculate body	APPLY	HIGH	Правое латеральное коленчатое тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA73304	left lateral geniculate body	Левый латеральная гэникулатэ тело	LATERALITY|GRAMMAR	PROBABLE	corpus geniculatum laterale	lateral geniculate body	APPLY	HIGH	Левое латеральное коленчатое тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA73309	right medial geniculate body	Правый медиальная гэникулатэ тело	LATERALITY|GRAMMAR	PROBABLE	corpus geniculatum mediale	medial geniculate body	APPLY	HIGH	Правое медиальное коленчатое тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA73310	left medial geniculate body	Левый медиальная гэникулатэ тело	LATERALITY|GRAMMAR	PROBABLE	corpus geniculatum mediale	medial geniculate body	APPLY	HIGH	Левое медиальное коленчатое тело	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA78590	set of heterogeneous clusters	Совокупность хэтэрогэнэоус клустэрс	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA81752	right cervical rotator	Правый шейная вращатель	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правый шейный вращатель	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA81753	left cervical rotator	Левый шейная вращатель	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левый шейный вращатель	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA82734	right long ciliary nerve	Правый длинная ресничная нерв	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правый длинный ресничный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA82735	left long ciliary nerve	Левый длинная ресничная нерв	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левый длинный ресничный нерв	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA83115	cell part cluster	Кэлл часть клустэр	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA83143	cell part cluster of neuraxis	Кластер частей клеток нервной оси	TRANSLITERATION	NO_MATCH			REVIEW	LOW		Требуется внешняя русская анатомическая проверка; безопасная автоматическая форма не подтверждена.
FMA258847	right calcaneal tendon	Правый пяточное сухожилие	LATERALITY|GRAMMAR	PROBABLE	tendo calcaneus	calcaneal tendon	APPLY	HIGH	Правое пяточное сухожилие	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA258850	right intermediate tendon	Правый промежуточная сухожилие	LATERALITY|GRAMMAR	PROBABLE	tendo intermedius	intermediate tendon	APPLY	HIGH	Правое промежуточное сухожилие	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA260791	white matter of right cerebral hemisphere	Белое вещество правый мозговая полушарие	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Белое вещество правого мозгового полушария	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA260794	white matter of left cerebral hemisphere	Белое вещество левый мозговая полушарие	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Белое вещество левого мозгового полушария	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA264844	left calcaneal tendon	Левый пяточное сухожилие	LATERALITY|GRAMMAR	PROBABLE	tendo calcaneus	calcaneal tendon	APPLY	HIGH	Левое пяточное сухожилие	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA7333	upper lobe of right lung	Верхняя доля правый лёгкое	LATERALITY|GRAMMAR	EXACT	lobus superior pulmonis dextri	superior lobe of right lung	APPLY	HIGH	Верхняя доля правого лёгкого	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA7337	lower lobe of right lung	Нижняя доля правый лёгкое	LATERALITY|GRAMMAR	EXACT	lobus inferior pulmonis dextri	inferior lobe of right lung	APPLY	HIGH	Нижняя доля правого лёгкого	Однозначная нормативная форма по en/TA и согласованной left/right паре.
FMA7338	right apical bronchopulmonary segment	Правый верхушечная бронхолёгочный сегмент	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правый верхушечный бронхолёгочный сегмент	Однозначная нормативная форма по en/TA и согласованной left/right паре.
