conceptId	en	current_ru	problem_type	decision	confidence	final_ru	reason
FMA55697	right upper second secondary molar tooth	Правый верхняя вторая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55698	right upper first secondary molar tooth	Правый верхняя первая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55699	left upper first secondary molar tooth	Левый верхняя первая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55700	left upper second secondary molar tooth	Левый верхняя вторая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55703	left lower second secondary molar tooth	Левый нижняя вторая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55704	left lower first secondary molar tooth	Левый нижняя первая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55705	right lower first secondary molar tooth	Правый нижняя первая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55706	right lower second secondary molar tooth	Правый нижняя вторая вторичная моляр зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55798	right upper secondary canine tooth	Правый верхняя вторичная клык зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA55799	left upper secondary canine tooth	Левый верхняя вторичная клык зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA57140	right lower lateral secondary incisor tooth	Правый нижняя латеральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA57141	left lower lateral secondary incisor tooth	Левый нижняя латеральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA57142	right lower central secondary incisor tooth	Правый нижняя центральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA57143	left lower central secondary incisor tooth	Левый нижняя центральная вторичная резец зуб	GENDER|AGREEMENT	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA64989	heterogeneous cluster	Хэтэрогэнэоус клустэр	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA64990	organ part cluster	Орган часть клустэр	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA65551	subdivisionof autonomic nervous system	Субдивисионоф вегетативная нервная система	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA78590	set of heterogeneous clusters	Совокупность хэтэрогэнэоус клустэрс	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA83115	cell part cluster	Кэлл часть клустэр	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA20226	right side of bony pelvis	Правый сидэ костный таз	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA20227	left side of bony pelvis	Левый сидэ костный таз	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA59748	right side of internal nose	Правый сидэ внутренняя нос	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
FMA59749	left side of internal nose	Левый сидэ внутренняя нос	TRANSLITERATION	REVIEW	LOW		Подозрение найдено, но безопасная русская форма требует внешней редакторской проверки.
