conceptId	en	ru	aliases
FMA14818	appendicular artery	Артерия червеобразного отростка	аппендикулярная артерия
FMA14542	appendix	Червеобразный отросток	аппендикс
FMA3768	arch of aorta	Дуга аорты	
FMA44594	arcuate artery	Дуговая артерия	
FMA22762	arteria princeps pollicis	Главная артерия большого пальца кисти	arteria princeps pollicis
FMA22763	arteria radialis indicis	Лучевая артерия указательного пальца	arteria radialis indicis
FMA3728	arterial anastomosis	Артериальный анастомоз	
FMA30313	arterial trunk	Артериальный ствол	
FMA50720	artery	Артерия	
FMA77439	artery of central sulcus	Артерия центральной борозды	
FMA50484	artery of left postcentral sulcus	Артерия левой постцентральной борозды	
FMA50481	artery of left precentral sulcus	Артерия левой прецентральной борозды	
FMA50482	artery of postcentral sulcus	Артерия постцентральной борозды	
FMA50479	artery of precentral sulcus	Артерия прецентральной борозды	
FMA50483	artery of right postcentral sulcus	Артерия правой постцентральной борозды	
FMA50480	artery of right precentral sulcus	Артерия правой прецентральной борозды	
FMA67396	articular disk of symphysis	Суставной диск симфиза	
FMA46602	aryepiglotticus	Черпалонадгортанная мышца	m. aryepiglotticus
FMA55109	arytenoid cartilage	Черпаловидный хрящ	
FMA3736	ascending aorta	Восходящая аорта	
FMA14820	ascending branch of inferior branch of ileocolic artery	Восходящая ветвь нижней ветви подвздошно-ободочной артерии	
FMA14828	ascending branch of left colic artery	Восходящая ветвь левой ободочной артерии	
FMA14545	ascending colon	Восходящая ободочная кишка	
FMA12858	ascending lumbar vein	Восходящая поясничная вена	
FMA33583	ascending part of left trapezius	Восходящая часть левой трапециевидной мышцы	
FMA33581	ascending part of right trapezius	Восходящая часть правой трапециевидной мышцы	
FMA32555	ascending part of trapezius	Восходящая часть трапециевидной мышцы	
FMA12519	atlas	Атлант	первый шейный позвонок|C1
FMA7596	atypical rib	Атипичное ребро	
FMA5889	autonomic ganglion	Вегетативный ганглий	автономный ганглий
FMA7483	axial skeletal system	Осевая скелетная система	
FMA71221	axial skeleton	Осевой скелет	
FMA22654	axillary artery	Подмышечная артерия	
FMA13329	axillary vein	Подмышечная вена	
FMA12520	axis	Осевой позвонок	второй шейный позвонок|C2|эпистрофей
FMA4838	azygos vein	Непарная вена	
FMA61681	back of abdomen	Задняя область живота	
FMA24189	back of neck	Задняя область шеи	
FMA24217	back of thorax	Задняя область грудной клетки	
FMA68722	basal branch of anterior basal segmental artery	Базальная ветвь передней базальной сегментарной артерии	
FMA68723	basal branch of right anterior basal segmental artery	Базальная ветвь правой передней базальной сегментарной артерии	
FMA62514	basal ganglion of telencephalon	Базальный ганглий конечного мозга	базальные ядра
FMA68238	basal segmental bronchial tree	Базальное сегментарное бронхиальное дерево	
FMA270201	basicranial part of head proper	Базикраниальная часть собственно головы	
FMA52801	basicranium	Основание черепа	базикраниум
FMA50542	basilar artery	Базилярная артерия	основная артерия
FMA22908	basilic vein	Базиликовая вена	медиальная подкожная вена руки
FMA9706	bile duct	Желчный проток	
FMA14665	biliary tree	Желчное дерево	билиарное дерево
FMA260456	body cavity content	Содержимое полости тела	
FMA7563	body compartment	Компартмент тела	отдел тела
FMA45734	body of organ	Тело органа	
FMA7487	body of sternum	Тело грудины	
FMA231424	body proper	Собственно тело	
FMA10427	body wall	Стенка тела	
FMA5018	bone organ	Костный орган	
FMA59837	bony part of nasal septum	Костная часть перегородки носа	
FMA16580	bony pelvis	Костный таз	
FMA22689	brachial artery	Плечевая артерия	
FMA22934	brachial vein	Плечевая вена	
FMA37667	brachialis	Плечевая мышца	брахиалис
FMA3932	brachiocephalic artery	Плечеголовной ствол	брахиоцефальный ствол
FMA4723	brachiocephalic vein	Плечеголовная вена	брахиоцефальная вена
FMA38485	brachioradialis	Плечелучевая мышца	брахиорадиалис
FMA71114	brachium of inferior colliculus	Ручка нижнего холмика	
FMA73464	brachium of left inferior colliculus	Ручка левого нижнего холмика	
FMA73462	brachium of left superior colliculus	Ручка левого верхнего холмика	
FMA83857	brachium of neuraxis	Ручка нервной оси	
FMA73463	brachium of right inferior colliculus	Ручка правого нижнего холмика	
FMA73461	brachium of right superior colliculus	Ручка правого верхнего холмика	
FMA72417	brachium of superior colliculus	Ручка верхнего холмика	
FMA79876	brainstem	Ствол мозга	ствол головного мозга
FMA50031	branch of anterior cerebral artery	Ветвь передней мозговой артерии	
FMA50112	branch of anterior choroidal artery	Ветвь передней ворсинчатой артерии	ветвь передней хориоидальной артерии
FMA50119	branch of anterior choroidal artery to posterior limb of internal capsule	Ветвь передней ворсинчатой артерии к задней ножке внутренней капсулы	
FMA13921	branch of anterior interventricular branch of left coronary artery	Ветвь передней межжелудочковой ветви левой коронарной артерии	
FMA22842	branch of arterial anastomosis	Ветвь артериального анастомоза	
FMA76269	branch of basilar artery	Ветвь базилярной артерии	
FMA22693	branch of brachial artery	Ветвь плечевой артерии	
FMA50331	branch of callosomarginal artery	Ветвь мозолисто-краевой артерии	
FMA51886	branch of cerebral arterial circle	Ветвь артериального круга большого мозга	ветвь виллизиева круга
FMA7037	branch of ciliary ganglion	Ветвь ресничного узла	
FMA22809	branch of common interosseous artery	Ветвь общей межкостной артерии	
FMA52570	branch of cranial nerve	Ветвь черепного нерва	
FMA23117	branch of deep brachial artery	Ветвь глубокой артерии плеча	
FMA22843	branch of deep palmar arterial arch	Ветвь глубокой ладонной артериальной дуги	
FMA85109	branch of first common palmar digital artery	Ветвь первой общей ладонной пальцевой артерии	
FMA52641	branch of frontal nerve	Ветвь лобного нерва	
FMA14821	branch of ileocolic artery	Ветвь подвздошно-ободочной артерии	
FMA21520	branch of inferior branch of ileocolic artery	Ветвь нижней ветви подвздошно-ободочной артерии	
FMA20803	branch of lateral circumflex femoral artery	Ветвь латеральной артерии, огибающей бедренную кость	
FMA50647	branch of lateral occipital artery	Ветвь латеральной затылочной артерии	
FMA43940	branch of lateral plantar artery	Ветвь латеральной подошвенной артерии	
FMA50147	branch of left anterior choroidal artery to posterior limb of left internal capsule	Ветвь левой передней ворсинчатой артерии к задней ножке левой внутренней капсулы	
FMA66328	branch of left coronary artery	Ветвь левой коронарной артерии	
FMA50477	branch of left middle cerebral artery to left angular gyrus	Ветвь левой средней мозговой артерии к левой угловой извилине	
FMA50694	branch of medial branch of superior cerebellar artery	Ветвь медиальной ветви верхней мозжечковой артерии	
FMA50651	branch of medial occipital artery	Ветвь медиальной затылочной артерии	
FMA43941	branch of medial plantar artery	Ветвь медиальной подошвенной артерии	
FMA50081	branch of middle cerebral artery	Ветвь средней мозговой артерии	
FMA50475	branch of middle cerebral artery to angular gyrus	Ветвь средней мозговой артерии к угловой извилине	
FMA52671	branch of nasociliary nerve	Ветвь носоресничного нерва	
FMA52571	branch of oculomotor nerve	Ветвь глазодвигательного нерва	
FMA52624	branch of ophthalmic nerve	Ветвь глазного нерва	
FMA50338	branch of pericallosal artery	Ветвь околомозолистой артерии	
FMA50563	branch of pontine artery	Ветвь мостовой артерии	
FMA79615	branch of postcommunicating part of anterior cerebral artery	Ветвь посткоммуникационной части передней мозговой артерии	
FMA50586	branch of posterior cerebral artery	Ветвь задней мозговой артерии	
FMA86127	branch of posterior choroidal artery	Ветвь задней ворсинчатой артерии	ветвь задней хориоидальной артерии
FMA50168	branch of posterior communicating artery	Ветвь задней соединительной артерии	
FMA69784	branch of posterior tibial artery	Ветвь задней большеберцовой артерии	
FMA22738	branch of radial artery	Ветвь лучевой артерии	
FMA50146	branch of right anterior choroidal artery to posterior limb of right internal capsule	Ветвь правой передней ворсинчатой артерии к задней ножке правой внутренней капсулы	
FMA66327	branch of right coronary artery	Ветвь правой коронарной артерии	
