conceptId	en	ru	aliases
FMA64875	anterior suboccipital muscle		
FMA50063	anterior superficial chest wall		
FMA14782	anterior superior pancreaticoduodenal artery		
FMA15420	anterior superior segmental branch of right portal vein		
FMA70442	anterior superior segmental hepatic artery		
FMA15798	anterior superior segmental tributary of right hepatic vein		
FMA71867	anterior superior tributary of right hepatic biliary tree		
FMA50382	anterior temporal artery		
FMA50648	anterior temporal branch of lateral occipital artery		
FMA50679	anterior temporal branch of left lateral occipital artery		
FMA50678	anterior temporal branch of right lateral occipital artery		
FMA87542	anterior thoracic wall		
FMA43894	anterior tibial artery		
FMA43902	anterior tibial recurrent artery		
FMA44331	anterior tibial vein		
FMA71861	anterior tributary of right hepatic biliary tree		
FMA22800	anterior ulnar recurrent artery		
FMA3813	anterior ventricular branch of right coronary artery		
FMA9560	anterior wall of left ventricle		
FMA9553	anterior wall of right ventricle		
FMA68843	antero-medial basal segmental artery		
FMA50378	anterolateral central branch of left middle cerebral artery		
FMA50376	anterolateral central branch of middle cerebral artery		
FMA50377	anterolateral central branch of right middle cerebral artery		
FMA7265	anterolateral head of lateral papillary muscle of left ventricle		
FMA3734	aorta		
FMA68661	apical part of apical segmental artery		
FMA68919	apical part of apical segmental vein		
FMA68669	apical part of posterior segmental artery		
FMA68662	apical part of right apical segmental artery		
FMA8681	apical part of right apical segmental vein		
FMA68670	apical part of right posterior segmental artery		
FMA8707	apical segmental artery		
FMA68234	apical segmental bronchial tree		
FMA13444	apical segmental vein		
FMA7372	apicoposterior bronchopulmonary segment		
FMA68659	apicoposterior division of right upper lobar artery		
FMA8666	apicoposterior segmental vein		
FMA14818	appendicular artery		
FMA14542	appendix		
FMA3768	arch of aorta		
FMA44594	arcuate artery		
FMA22762	arteria princeps pollicis		
FMA22763	arteria radialis indicis		
FMA3728	arterial anastomosis		
FMA30313	arterial trunk		
FMA50720	artery		
FMA77439	artery of central sulcus		
FMA50484	artery of left postcentral sulcus		
FMA50481	artery of left precentral sulcus		
FMA50482	artery of postcentral sulcus		
FMA50479	artery of precentral sulcus		
FMA50483	artery of right postcentral sulcus		
FMA50480	artery of right precentral sulcus		
FMA67396	articular disk of symphysis		
FMA46602	aryepiglotticus		
FMA55109	arytenoid cartilage		
FMA3736	ascending aorta		
FMA14820	ascending branch of inferior branch of ileocolic artery		
FMA14828	ascending branch of left colic artery		
FMA14545	ascending colon		
FMA12858	ascending lumbar vein		
FMA33583	ascending part of left trapezius		
FMA33581	ascending part of right trapezius		
FMA32555	ascending part of trapezius		
FMA12519	atlas		
FMA7596	atypical rib		
FMA5889	autonomic ganglion		
FMA7483	axial skeletal system		
FMA71221	axial skeleton		
FMA22654	axillary artery		
FMA13329	axillary vein		
FMA12520	axis		
FMA4838	azygos vein		
FMA61681	back of abdomen		
FMA24189	back of neck		
FMA24217	back of thorax		
FMA68722	basal branch of anterior basal segmental artery		
FMA68723	basal branch of right anterior basal segmental artery		
FMA62514	basal ganglion of telencephalon		
FMA68238	basal segmental bronchial tree		
FMA270201	basicranial part of head proper		
FMA52801	basicranium		
FMA50542	basilar artery		
FMA22908	basilic vein		
FMA9706	bile duct		
FMA14665	biliary tree		
FMA260456	body cavity content		
FMA7563	body compartment		
FMA45734	body of organ		
FMA7487	body of sternum		
FMA231424	body proper		
FMA10427	body wall		
FMA5018	bone organ		
FMA59837	bony part of nasal septum		
FMA16580	bony pelvis		
FMA22689	brachial artery		
FMA22934	brachial vein		
FMA37667	brachialis		
FMA3932	brachiocephalic artery		
FMA4723	brachiocephalic vein		
FMA38485	brachioradialis		
FMA71114	brachium of inferior colliculus		
FMA73464	brachium of left inferior colliculus		
FMA73462	brachium of left superior colliculus		
FMA83857	brachium of neuraxis		
FMA73463	brachium of right inferior colliculus		
FMA73461	brachium of right superior colliculus		
FMA72417	brachium of superior colliculus		
FMA79876	brainstem		
FMA50031	branch of anterior cerebral artery		
FMA50112	branch of anterior choroidal artery		
FMA50119	branch of anterior choroidal artery to posterior limb of internal capsule		
FMA13921	branch of anterior interventricular branch of left coronary artery		
FMA22842	branch of arterial anastomosis		
FMA76269	branch of basilar artery		
FMA22693	branch of brachial artery		
FMA50331	branch of callosomarginal artery		
FMA51886	branch of cerebral arterial circle		
FMA7037	branch of ciliary ganglion		
FMA22809	branch of common interosseous artery		
FMA52570	branch of cranial nerve		
FMA23117	branch of deep brachial artery		
FMA22843	branch of deep palmar arterial arch		
FMA85109	branch of first common palmar digital artery		
FMA52641	branch of frontal nerve		
FMA14821	branch of ileocolic artery		
FMA21520	branch of inferior branch of ileocolic artery		
FMA20803	branch of lateral circumflex femoral artery		
FMA50647	branch of lateral occipital artery		
FMA43940	branch of lateral plantar artery		
FMA50147	branch of left anterior choroidal artery to posterior limb of left internal capsule		
FMA66328	branch of left coronary artery		
FMA50477	branch of left middle cerebral artery to left angular gyrus		
FMA50694	branch of medial branch of superior cerebellar artery		
FMA50651	branch of medial occipital artery		
FMA43941	branch of medial plantar artery		
FMA50081	branch of middle cerebral artery		
FMA50475	branch of middle cerebral artery to angular gyrus		
FMA52671	branch of nasociliary nerve		
FMA52571	branch of oculomotor nerve		
FMA52624	branch of ophthalmic nerve		
FMA50338	branch of pericallosal artery		
FMA50563	branch of pontine artery		
FMA79615	branch of postcommunicating part of anterior cerebral artery		
FMA50586	branch of posterior cerebral artery		
FMA86127	branch of posterior choroidal artery		
FMA50168	branch of posterior communicating artery		
FMA69784	branch of posterior tibial artery		
FMA22738	branch of radial artery		
FMA50146	branch of right anterior choroidal artery to posterior limb of right internal capsule		
FMA66327	branch of right coronary artery		
