conceptId	en	current_ru	category	why_uncertain	recommended_check_source	search_query
FMA84054	zone of neuraxis	Зона нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"zone of neuraxis" русская нейроанатомическая терминология
FMA84059	nuclear complex of neuraxis	Нуклэар комплекс нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"nuclear complex of neuraxis" русская нейроанатомическая терминология
FMA85112	medial proper palmar digital artery of right middle finger	Медиальная собственно ладонная дигитал артерия правый средняя палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"medial proper palmar digital artery of right middle finger" русское анатомическое название артерия вена ветвь
FMA85115	lateral proper palmar digital artery of right ring finger	Латеральная собственно ладонная дигитал артерия правый кольцо палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of right ring finger" русское анатомическое название артерия вена ветвь
FMA85116	lateral proper palmar digital artery of left ring finger	Латеральная собственно ладонная дигитал артерия левый кольцо палец	vessel_branching	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"lateral proper palmar digital artery of left ring finger" русское анатомическое название артерия вена ветвь
FMA242770	region of wall of ventricular system of neuraxis	Область стенка желудочковая система нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"region of wall of ventricular system of neuraxis" русская нейроанатомическая терминология
FMA256237	segment of neuraxis	Сегмент нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"segment of neuraxis" русская нейроанатомическая терминология
FMA23876	skeleton (in vivo)	Скэлэтон (ин виво)	other	Текущий перевод требует сверки с родственными терминами.	authoritative Russian anatomy textbook/atlas	"skeleton (in vivo)" нормативный русский анатомический термин
FMA58401	investing fascia of right upper limb	Инвэстинг фасция правый верхняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right upper limb" нормативный русский анатомический термин
FMA58405	investing fascia of right free upper limb	Инвэстинг фасция правый свободная верхняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right free upper limb" нормативный русский анатомический термин
FMA58406	investing fascia of left free upper limb	Инвэстинг фасция левый свободная верхняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left free upper limb" нормативный русский анатомический термин
FMA58418	investing fascia of right lower limb	Инвэстинг фасция правый нижняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right lower limb" нормативный русский анатомический термин
FMA58419	investing fascia of left lower limb	Инвэстинг фасция левый нижняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left lower limb" нормативный русский анатомический термин
FMA58429	investing fascia of right free lower limb	Инвэстинг фасция правый свободная нижняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right free lower limb" нормативный русский анатомический термин
FMA58430	investing fascia of left free lower limb	Инвэстинг фасция левый свободная нижняя конечность	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left free lower limb" нормативный русский анатомический термин
FMA58448	investing fascia of right wrist	Инвэстинг фасция правый запястье	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right wrist" нормативный русский анатомический термин
FMA58449	investing fascia of left wrist	Инвэстинг фасция левый запястье	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left wrist" нормативный русский анатомический термин
FMA58575	investing fascia of right forearm	Инвэстинг фасция правый предплечье	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right forearm" нормативный русский анатомический термин
FMA58576	investing fascia of left forearm	Инвэстинг фасция левый предплечье	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left forearm" нормативный русский анатомический термин
FMA58742	investing fascia of right thigh	Инвэстинг фасция правый бедро	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of right thigh" нормативный русский анатомический термин
FMA58743	investing fascia of left thigh	Инвэстинг фасция левый бедро	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"investing fascia of left thigh" нормативный русский анатомический термин
FMA59754	wall of right side of internal nose	Стенка правый сидэ внутренняя нос	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"wall of right side of internal nose" нормативный русский анатомический термин
FMA59755	wall of left side of internal nose	Стенка левый сидэ внутренняя нос	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"wall of left side of internal nose" нормативный русский анатомический термин
FMA68317	superior division of upper lobe part of left bronchial tree	Верхняя дивисион верхняя доля часть левый бронхиальная дерево	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"superior division of upper lobe part of left bronchial tree" нормативный русский анатомический термин
FMA68318	inferior division of upper lobe part of left bronchial tree	Нижняя дивисион верхняя доля часть левый бронхиальная дерево	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"inferior division of upper lobe part of left bronchial tree" нормативный русский анатомический термин
FMA73703	wall of right side of heart	Стенка правый сидэ сердце	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"wall of right side of heart" нормативный русский анатомический термин
FMA73704	wall of left side of heart	Стенка левый сидэ сердце	laterality	В русском названии сохранён машинный/латинизированный компонент.	Terminologia Anatomica	"wall of left side of heart" нормативный русский анатомический термин
FMA75007	cavity of neuraxis	Полость нэураксис	neuroanatomy	В русском названии сохранён машинный/латинизированный компонент.	FMA / Foundational Model of Anatomy	"cavity of neuraxis" русская нейроанатомическая терминология
FMA84856	subendocardial layer of myocardium of right ventricle	Субэндокардиальная слой миокард правый желудочек	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"subendocardial layer of myocardium of right ventricle" нормативный русский анатомический термин
FMA84857	subendocardial layer of myocardium of left ventricle	Субэндокардиальная слой миокард левый желудочек	laterality	Нужно проверить род, падеж и одинаковую основу правого/левого варианта.	Terminologia Anatomica	"subendocardial layer of myocardium of left ventricle" нормативный русский анатомический термин
