conceptId	en	current_ru	latin_ta	english_ta	mapping_status	confidence
FMA3939	common carotid artery	Общая сонная артерия	carotis communis 	common carotid artery	EXACT	1.00
FMA3941	right common carotid artery	Правый общая сонная артерия	carotis communis dextra	right common carotid artery	EXACT	1.00
FMA3947	internal carotid artery	Внутренняя сонная артерия	carotis interna	internal carotid artery	EXACT	1.00
FMA3949	right internal carotid artery	Правый внутренняя сонная артерия	carotis interna	internal carotid artery	PROBABLE	0.86
FMA3951	subclavian artery	Подключичная артерия	arteria subclavia	subclavian artery	EXACT	1.00
FMA3953	right subclavian artery	Правый подключичная артерия	arteria subclavia dextra	right subclavian artery	EXACT	1.00
FMA3956	vertebral artery	Позвоночная артерия	arteria vertebralis	vertebral artery	EXACT	1.00
FMA3958	right vertebral artery	Правый позвоночная артерия	arteria vertebralis	vertebral artery	PROBABLE	0.86
FMA3960	internal thoracic artery	Внутренняя грудная артерия	arteria thoracica interna	internal thoracic artery	EXACT	1.00
FMA3969	right internal thoracic artery	Правый внутренняя грудная артерия	arteria thoracica interna	internal thoracic artery	PROBABLE	0.86
FMA3988	right superior epigastric artery	Правый верхняя надчревная артерия	arteria epigastrica superior	superior epigastric artery	PROBABLE	0.86
FMA3990	thyrocervical trunk	Щитовидно-шейный туловище	truncus thyreocervicalis	thyrocervical trunk	EXACT	1.00
FMA3992	right thyrocervical trunk	Правый щитовидно-шейный туловище	truncus thyreocervicalis	thyrocervical trunk	PROBABLE	0.86
FMA3994	second posterior intercostal artery	Вторая задняя межрёберная артерия	arteria intercostalis posterior secunda	second posterior intercostal artery	EXACT	1.00
FMA4057	right dorsal scapular artery	Правый тыльная лопаточная артерия	arteria dorsalis scapulae	dorsal scapular artery	PROBABLE	0.86
FMA4058	left common carotid artery	Левый общая сонная артерия	carotis communis sinistra	left common carotid artery	EXACT	1.00
FMA4062	left internal carotid artery	Левый внутренняя сонная артерия	carotis interna	internal carotid artery	PROBABLE	0.86
FMA4066	left vertebral artery	Левый позвоночная артерия	arteria vertebralis	vertebral artery	PROBABLE	0.86
FMA4068	left internal thoracic artery	Левый внутренняя грудная артерия	arteria thoracica interna	internal thoracic artery	PROBABLE	0.86
FMA4077	left musculophrenic artery	Левый мышечно-диафрагмальная артерия	arteria musculophrenica	musculophrenic artery	PROBABLE	0.86
FMA4083	left superior epigastric artery	Левый верхняя надчревная артерия	arteria epigastrica superior	superior epigastric artery	PROBABLE	0.86
FMA4084	left thyrocervical trunk	Левый щитовидно-шейный туловище	truncus thyreocervicalis	thyrocervical trunk	PROBABLE	0.86
FMA4086	left costocervical trunk	Левый рёберно-шейный туловище	truncus costocervicalis	costocervical trunk	PROBABLE	0.86
FMA4088	left superior intercostal artery	Левый верхняя межрёберная артерия			NO_MATCH	0.00
FMA4112	left second posterior intercostal artery	Левый вторая задняя межрёберная артерия	arteria intercostalis posterior secunda	second posterior intercostal artery	PROBABLE	0.86
FMA4134	left deep cervical artery	Левый глубокая шейная артерия	arteria cervicalis profunda	deep cervical artery	PROBABLE	0.86
FMA4149	esophageal artery	Пищеводная артерия			NO_MATCH	0.00
FMA4176	posterior intercostal artery	Задняя межрёберная артерия	arteria intercostalis posterior	posterior intercostal artery	EXACT	1.00
FMA4613	subcostal artery	Подрёберная артерия	arteria subcostalis	subcostal artery	EXACT	1.00
FMA4634	right subcostal artery	Правый подрёберная артерия	arteria subcostalis	subcostal artery	PROBABLE	0.86
FMA4654	left subcostal artery	Левый подрёберная артерия	arteria subcostalis	subcostal artery	PROBABLE	0.86
FMA4677	trunk of branch of coronary artery	Туловище ветвь коронарная артерия			NO_MATCH	0.00
FMA4694	left subclavian artery	Левый подключичная артерия	arteria subclavia sinistra	left subclavian artery	EXACT	1.00
FMA4706	coronary sinus	Коронарная синус	sinus coronarius	coronary sinus	EXACT	1.00
FMA4707	great cardiac vein	Большая сердечная вена	vena magna cordis	great cardiac vein	EXACT	1.00
FMA4708	left marginal vein	Левый краевая вена			NO_MATCH	0.00
FMA4712	posterior vein of left ventricle	Задняя вена левый желудочек	vena inferior ventriculi sinistri	inferior vein of left ventricle	EXACT	1.00
FMA4713	middle cardiac vein	Средняя сердечная вена	vena media cordis	middle cardiac vein	EXACT	1.00
FMA4714	small cardiac vein	Малая сердечная вена	vena parva cordis	small cardiac vein	EXACT	1.00
FMA4716	right marginal vein	Правый краевая вена			NO_MATCH	0.00
FMA4720	superior vena cava	Верхняя полая вена	vena cava superior	superior vena cava	EXACT	1.00
FMA4723	brachiocephalic vein	Плечеголовная вена	vena brachiocephalica	brachiocephalic vein	EXACT	1.00
FMA4724	internal jugular vein	Внутренняя яремная вена	vena jugularis interna	internal jugular vein	EXACT	1.00
FMA4725	subclavian vein	Подключичная вена	vena subclavia	subclavian vein	EXACT	1.00
FMA4729	internal thoracic vein	Внутренняя грудная вена			NO_MATCH	0.00
FMA4731	superior epigastric vein	Верхняя надчревная вена			NO_MATCH	0.00
FMA4732	musculophrenic vein	Мышечно-диафрагмальная вена			NO_MATCH	0.00
FMA4751	right brachiocephalic vein	Правый плечеголовная вена	vena brachiocephalica dextra	right brachiocephalic vein	EXACT	1.00
FMA4754	right internal jugular vein	Правый внутренняя яремная вена	vena jugularis interna	internal jugular vein	PROBABLE	0.86
FMA4755	right subclavian vein	Правый подключичная вена	vena subclavia	subclavian vein	PROBABLE	0.86
FMA4758	right internal thoracic vein	Правый внутренняя грудная вена			NO_MATCH	0.00
FMA4761	left brachiocephalic vein	Левый плечеголовная вена	vena brachiocephalica sinistra	left brachiocephalic vein	EXACT	1.00
FMA4762	left internal jugular vein	Левый внутренняя яремная вена	vena jugularis interna	internal jugular vein	PROBABLE	0.86
FMA4763	left subclavian vein	Левый подключичная вена	vena subclavia	subclavian vein	PROBABLE	0.86
FMA4771	right superior epigastric vein	Правый верхняя надчревная вена			NO_MATCH	0.00
FMA4772	right musculophrenic vein	Правый мышечно-диафрагмальная вена			NO_MATCH	0.00
FMA4785	left superior epigastric vein	Левый верхняя надчревная вена			NO_MATCH	0.00
FMA4786	left musculophrenic vein	Левый мышечно-диафрагмальная вена			NO_MATCH	0.00
FMA4797	left superior intercostal vein	Левый верхняя межрёберная вена	vena intercostalis superior sinistra	left superior intercostal vein	EXACT	1.00
FMA4838	azygos vein	Непарная вена	vena azyga	azygos vein	EXACT	1.00
FMA4843	right ascending lumbar vein	Правый восходящая поясничная вена	vena lumbalis ascendens dextra	right ascending lumbar vein	EXACT	1.00
FMA4844	right subcostal vein	Правый подрёберная вена	vena subcostalis dextra	right subcostal vein	EXACT	1.00
FMA4877	right superior intercostal vein	Правый верхняя межрёберная вена	vena intercostalis superior dextra	right superior intercostal vein	EXACT	1.00
FMA4944	hemiazygos vein	Хэмиазйгос вена			NO_MATCH	0.00
FMA4950	left ascending lumbar vein	Левый восходящая поясничная вена	vena lumbalis ascendens sinistra	left ascending lumbar vein	EXACT	1.00
FMA4951	left subcostal vein	Левый подрёберная вена	vena subcostalis sinistra	left subcostal vein	EXACT	1.00
FMA5011	accessory hemiazygos vein	Добавочная полунепарная вена			NO_MATCH	0.00
FMA5018	bone organ	Костный орган			NO_MATCH	0.00
FMA5022	muscle organ	Мышечный орган			NO_MATCH	0.00
FMA5039	right costocervical trunk	Правый рёберно-шейный туловище	truncus costocervicalis	costocervical trunk	PROBABLE	0.86
FMA5041	right second posterior intercostal artery	Правый вторая задняя межрёберная артерия	arteria intercostalis posterior secunda	second posterior intercostal artery	PROBABLE	0.86
FMA5042	right superior intercostal artery	Правый верхняя межрёберная артерия			NO_MATCH	0.00
FMA5865	cranial nerve	Черепной нерв	nervus cranialis	cranial nerve	EXACT	1.00
FMA5884	ganglion	Ганглий			NO_MATCH	0.00
FMA5889	autonomic ganglion	Вегетативный ганглий			NO_MATCH	0.00
FMA5894	parasympathetic ganglion	Парасимпатическая ганглий	ganglion parasympathicum	parasympathetic ganglion	EXACT	1.00
FMA5895	cranial parasympathetic ganglion	Черепной парасимпатическая ганглий			NO_MATCH	0.00
FMA5897	anatomical space	Анатомическое пространство			NO_MATCH	0.00
FMA5898	anatomical junction	Анатомическое соединение			NO_MATCH	0.00
FMA5913	nerve trunk	Нерв туловище			NO_MATCH	0.00
FMA6964	ciliary ganglion	Ресничная ганглий	ganglion ciliare	ciliary ganglion	EXACT	1.00
FMA7037	branch of ciliary ganglion	Ветвь ресничного узла			NO_MATCH	0.00
FMA7041	short ciliary nerve	Короткая ресничная нерв			NO_MATCH	0.00
FMA7131	esophagus	Пищевод			NO_MATCH	0.00
FMA7145	membrane organ	Мембранозный орган			NO_MATCH	0.00
FMA7146	organ component gland	Железа — компонент органа			NO_MATCH	0.00
FMA7148	stomach	Желудок	gaster	stomach	EXACT	1.00
FMA7163	skin	Кожа	cutis	skin	EXACT	1.00
FMA7196	spleen	Селезёнка	splen	spleen	EXACT	1.00
FMA7198	pancreas	Поджелудочная железа	pancreas	pancreas	EXACT	1.00
FMA7202	gallbladder	Желчный пузырь	vesica biliaris	gallbladder	EXACT	1.00
FMA7203	kidney	Почка	ren	kidney	EXACT	1.00
FMA7204	right kidney	Правая почка	ren	kidney	PROBABLE	0.86
FMA7205	left kidney	Левая почка	ren	kidney	PROBABLE	0.86
FMA7206	duodenum	Дуодэнум	duodenum	duodenum	EXACT	1.00
FMA7210	testis	Яичко	testis	testis	EXACT	1.00
FMA7211	right testis	Правое яичко	testis	testis	PROBABLE	0.86
FMA7212	left testis	Левое яичко	testis	testis	PROBABLE	0.86
FMA7232	cusp of cardiac valve	Заслонка сердечного клапана			NO_MATCH	0.00
FMA7237	leaflet of tricuspid valve	Створка трёхстворчатого клапана			NO_MATCH	0.00
FMA7238	anterior leaflet of tricuspid valve	Передняя створка трёхстворчатого клапана			NO_MATCH	0.00
FMA7239	posterior leaflet of tricuspid valve	Задняя створка трёхстворчатого клапана			NO_MATCH	0.00
FMA7240	septal leaflet of tricuspid valve	Перегородочная створка трёхстворчатого клапана			NO_MATCH	0.00
FMA7241	leaflet of mitral valve	Створка митрального клапана			NO_MATCH	0.00
FMA7242	anterior leaflet of mitral valve	Передняя створка митрального клапана			NO_MATCH	0.00
FMA7243	posterior leaflet of mitral valve	Задняя створка митрального клапана			NO_MATCH	0.00
FMA7247	left anterior cusp of pulmonary valve	Левая передняя заслонка клапана лёгочного ствола			NO_MATCH	0.00
FMA7248	cusp of pulmonary valve	Заслонка клапана лёгочного ствола			NO_MATCH	0.00
FMA7249	right anterior cusp of pulmonary valve	Правая передняя заслонка клапана лёгочного ствола			NO_MATCH	0.00
FMA7250	posterior cusp of pulmonary valve	Задняя заслонка клапана лёгочного ствола			NO_MATCH	0.00
FMA7251	cusp of aortic valve	Заслонка аортального клапана			NO_MATCH	0.00
FMA7252	right posterior cusp of aortic valve	Правая задняя заслонка аортального клапана			NO_MATCH	0.00
FMA7253	anterior cusp of aortic valve	Передняя заслонка аортального клапана			NO_MATCH	0.00
FMA7254	left posterior cusp of aortic valve	Левая задняя заслонка аортального клапана			NO_MATCH	0.00
FMA7260	anterior papillary muscle of right ventricle	Передняя сосочковая мышца правого желудочка	musculus papillaris anterior ventriculi dextri	anterior papillary muscle of right ventricle	EXACT	1.00
FMA7261	posterior papillary muscle of right ventricle	Задняя сосочковая мышца правый желудочек	musculus papillaris inferior ventriculi dextri	inferior papillary muscle of right ventricle	EXACT	1.00
FMA7262	septal papillary muscle of right ventricle	Перегородочная сосочковая мышца правый желудочек	musculus papillaris septalis ventriculi dextri	septal papillary muscle of right ventricle	EXACT	1.00
FMA7264	lateral papillary muscle of left ventricle	Латеральная сосочковая мышца левый желудочек			NO_MATCH	0.00
FMA7265	anterolateral head of lateral papillary muscle of left ventricle	Переднелатеральная головка латеральной сосочковой мышцы левого желудочка			NO_MATCH	0.00
FMA7394	trachea	Трахея	trachea	trachea	EXACT	1.00
FMA7396	left main bronchus	Левый главный бронх	bronchus principalis sinister	left main bronchus	EXACT	1.00
FMA7405	main bronchus	Главный бронх	bronchus principalis	main bronchus	EXACT	1.00
FMA7409	bronchus	Бронх	bronchus	bronchus	EXACT	1.00
FMA7474	long bone	Длинная кость	os longum	long bone	EXACT	1.00
FMA7475	short bone	Короткая кость	os breve	short bone	EXACT	1.00
FMA7476	flat bone	Плоская кость	os planum	flat bone	EXACT	1.00
FMA7477	irregular bone	Неправильная кость	os irregulare	irregular bone	EXACT	1.00
FMA7478	pneumatized bone	Пневматизированная кость			NO_MATCH	0.00
FMA7486	manubrium	Рукоятка			NO_MATCH	0.00
FMA7487	body of sternum	Тело грудины	corpus sterni	body of sternum	EXACT	1.00
FMA7488	xiphoid process	Мечевидный отросток	processus xiphoideus	xiphoid process	EXACT	1.00
FMA7538	cartilage organ component	Хрящ орган компонент			NO_MATCH	0.00
FMA7574	rib	Ребро	costa	rib	EXACT	1.00
FMA7591	costal cartilage	Рёберная хрящ	cartilago costalis	costal cartilage	EXACT	1.00
FMA7592	true rib	Истинное ребро			NO_MATCH	0.00
FMA7593	typical rib	Типичное ребро			NO_MATCH	0.00
FMA7594	false rib	Ложное ребро			NO_MATCH	0.00
FMA7595	floating rib	Плавающее ребро			NO_MATCH	0.00
FMA7596	atypical rib	Атипичное ребро			NO_MATCH	0.00
FMA7597	first rib	Первая ребро	costa prima	first rib	EXACT	1.00
FMA7603	first costal cartilage	Первая рёберная хрящ			NO_MATCH	0.00
FMA7620	second rib	Вторая ребро	costa secunda	second rib	EXACT	1.00
FMA7638	third rib	Третья ребро			NO_MATCH	0.00
FMA7646	retinaculum	Удерживатель	retinaculum tendinis	retinaculum	EXACT	1.00
FMA7703	second costal cartilage	Вторая рёберная хрящ			NO_MATCH	0.00
FMA7741	third costal cartilage	Третья рёберная хрящ			NO_MATCH	0.00
FMA7749	fourth rib	Четвёртая ребро			NO_MATCH	0.00
FMA7768	fourth costal cartilage	Четвёртая рёберная хрящ			NO_MATCH	0.00
FMA7776	fifth rib	Пятая ребро			NO_MATCH	0.00
FMA7795	fifth costal cartilage	Пятая рёберная хрящ			NO_MATCH	0.00
FMA7822	sixth costal cartilage	Шестая рёберная хрящ			NO_MATCH	0.00
FMA7830	seventh rib	Седьмая ребро			NO_MATCH	0.00
FMA7849	seventh costal cartilage	Седьмая рёберная хрящ			NO_MATCH	0.00
FMA7857	right first rib	Правый первая ребро	costa prima	first rib	PROBABLE	0.86
FMA7875	right first costal cartilage	Правый первая рёберная хрящ			NO_MATCH	0.00
FMA7882	right second rib	Правый вторая ребро	costa secunda	second rib	PROBABLE	0.86
FMA7886	right second costal cartilage	Правый вторая рёберная хрящ			NO_MATCH	0.00
FMA7909	right third rib	Правый третья ребро			NO_MATCH	0.00
FMA7913	right third costal cartilage	Правый третья рёберная хрящ			NO_MATCH	0.00
FMA7957	right fourth rib	Правый четвёртая ребро			NO_MATCH	0.00
FMA7976	right fourth costal cartilage	Правый четвёртая рёберная хрящ			NO_MATCH	0.00
FMA7987	left first rib	Левый первая ребро	costa prima	first rib	PROBABLE	0.86
FMA8005	left first costal cartilage	Левый первая рёберная хрящ			NO_MATCH	0.00
FMA8012	left second rib	Левый вторая ребро	costa secunda	second rib	PROBABLE	0.86
FMA8031	left second costal cartilage	Левый вторая рёберная хрящ			NO_MATCH	0.00
FMA8039	left third rib	Левый третья ребро			NO_MATCH	0.00
FMA8058	left third costal cartilage	Левый третья рёберная хрящ			NO_MATCH	0.00
FMA8066	right fifth rib	Правый пятая ребро			NO_MATCH	0.00
FMA8070	right fifth costal cartilage	Правый пятая рёберная хрящ			NO_MATCH	0.00
FMA8093	left fifth rib	Левый пятая ребро			NO_MATCH	0.00
FMA8112	left fifth costal cartilage	Левый пятая рёберная хрящ			NO_MATCH	0.00
FMA8120	eighth rib	Восьмая ребро			NO_MATCH	0.00
FMA8147	sixth rib	Шестая ребро			NO_MATCH	0.00
FMA8148	left fourth rib	Левый четвёртая ребро			NO_MATCH	0.00
FMA8167	left fourth costal cartilage	Левый четвёртая рёберная хрящ			NO_MATCH	0.00
FMA8175	right sixth rib	Правый шестая ребро			NO_MATCH	0.00
FMA8194	right sixth costal cartilage	Правый шестая рёберная хрящ			NO_MATCH	0.00
FMA8202	left sixth rib	Левый шестая ребро			NO_MATCH	0.00
FMA8221	left sixth costal cartilage	Левый шестая рёберная хрящ			NO_MATCH	0.00
FMA8229	right seventh rib	Правый седьмая ребро			NO_MATCH	0.00
FMA8248	right seventh costal cartilage	Правый седьмая рёберная хрящ			NO_MATCH	0.00
FMA8256	left seventh rib	Левый седьмая ребро			NO_MATCH	0.00
FMA8275	left seventh costal cartilage	Левый седьмая рёберная хрящ			NO_MATCH	0.00
FMA8283	right eighth rib	Правый восьмая ребро			NO_MATCH	0.00
FMA8310	left eighth rib	Левый восьмая ребро			NO_MATCH	0.00
FMA8337	ninth rib	Девятая ребро			NO_MATCH	0.00
FMA8364	right ninth rib	Правый девятая ребро			NO_MATCH	0.00
FMA8391	left ninth rib	Левый девятая ребро			NO_MATCH	0.00
FMA8418	tenth rib	Десятая ребро			NO_MATCH	0.00
FMA8445	right tenth rib	Правый десятая ребро			NO_MATCH	0.00
FMA8472	left tenth rib	Левый десятая ребро			NO_MATCH	0.00
FMA8499	eleventh rib	Одиннадцатая ребро			NO_MATCH	0.00
FMA8515	twelfth rib	Двенадцатая ребро			NO_MATCH	0.00
FMA8531	right eleventh rib	Правый одиннадцатая ребро			NO_MATCH	0.00
FMA8532	left eleventh rib	Левый одиннадцатая ребро			NO_MATCH	0.00
FMA8533	right twelfth rib	Правый двенадцатая ребро			NO_MATCH	0.00
FMA8534	left twelfth rib	Левый двенадцатая ребро			NO_MATCH	0.00
FMA8612	pulmonary trunk	Лёгочный туловище	truncus pulmonalis	pulmonary trunk	EXACT	1.00
FMA8615	pulmonary arterial trunk	Лёгочный артериальная туловище			NO_MATCH	0.00
FMA8620	right anterior segmental artery	Правый передняя сегментарный артерия			NO_MATCH	0.00
FMA8634	left apical segmental artery	Левый верхушечная сегментарный артерия			NO_MATCH	0.00
FMA8635	left posterior segmental artery	Левый задняя сегментарный артерия			NO_MATCH	0.00
FMA8639	superior lingular artery	Верхняя язычковая артерия			NO_MATCH	0.00
FMA8640	inferior lingular artery	Нижняя язычковая артерия			NO_MATCH	0.00
FMA8642	left superior segmental artery	Левый верхняя сегментарный артерия			NO_MATCH	0.00
FMA8644	left medial basal segmental artery	Левый медиальная базальная сегментарный артерия			NO_MATCH	0.00
FMA8645	left anterior basal segmental artery	Левый передняя базальная сегментарный артерия			NO_MATCH	0.00
FMA8646	left lateral basal segmental artery	Левый латеральная базальная сегментарный артерия			NO_MATCH	0.00
FMA8647	left posterior basal segmental artery	Левый задняя базальная сегментарный артерия			NO_MATCH	0.00
FMA8648	trunk of pulmonary vein	Туловище лёгочный вена			NO_MATCH	0.00
FMA8662	right anterior segmental vein	Правый передняя сегментарный вена			NO_MATCH	0.00
FMA8663	right posterior segmental vein	Правый задняя сегментарный вена			NO_MATCH	0.00
FMA8667	left anterior segmental vein	Левый передняя сегментарный вена			NO_MATCH	0.00
FMA8668	superior lingular vein	Верхняя язычковая вена			NO_MATCH	0.00
FMA8669	inferior lingular vein	Нижняя язычковая вена			NO_MATCH	0.00
FMA8670	right superior segmental vein	Правый верхняя сегментарный вена			NO_MATCH	0.00
FMA8673	right anterior basal segmental vein	Правый передняя базальная сегментарный вена			NO_MATCH	0.00
FMA8678	left anterior basal segmental vein	Левый передняя базальная сегментарный вена			NO_MATCH	0.00
FMA8681	apical part of right apical segmental vein	Верхушечная часть правой верхушечной сегментарной вены			NO_MATCH	0.00
FMA8683	superior part of anterior segmental vein	Верхняя часть передняя сегментарный вена			NO_MATCH	0.00
FMA8693	inferior part of anterior segmental vein	Нижняя часть передняя сегментарный вена			NO_MATCH	0.00
FMA8702	upper lobar artery	Верхняя долевой артерия			NO_MATCH	0.00
FMA8707	apical segmental artery	Верхушечная сегментарная артерия			NO_MATCH	0.00
FMA8714	superior segmental artery	Верхняя сегментарный артерия			NO_MATCH	0.00
FMA8716	medial basal segmental artery	Медиальная базальная сегментарный артерия			NO_MATCH	0.00
FMA8717	anterior basal segmental artery	Передняя базальная сегментарная артерия			NO_MATCH	0.00
FMA8718	lateral basal segmental artery	Латеральная базальная сегментарный артерия			NO_MATCH	0.00
FMA8719	posterior basal segmental artery	Задняя базальная сегментарный артерия			NO_MATCH	0.00
FMA8755	segmental pulmonary artery	Сегментарный лёгочный артерия			NO_MATCH	0.00
FMA9139	thoracic vertebra	Грудная позвонок	vertebra thoracica	thoracic vertebra	EXACT	1.00
FMA9165	first thoracic vertebra	Первая грудная позвонок	vertebra thoracica prima	first thoracic vertebra	EXACT	1.00
FMA9187	second thoracic vertebra	Вторая грудная позвонок			NO_MATCH	0.00
FMA9209	third thoracic vertebra	Третья грудная позвонок			NO_MATCH	0.00
FMA9248	fourth thoracic vertebra	Четвёртая грудная позвонок			NO_MATCH	0.00
FMA9291	cavity of right ventricle	Полость правого желудочка			NO_MATCH	0.00
FMA9311	subsegmental pulmonary artery	Субсегментарный лёгочный артерия			NO_MATCH	0.00
FMA9337	organ cavity subdivision	Орган полость подразделение			NO_MATCH	0.00
FMA9338	anatomical conduit space	Полость анатомического проводника			NO_MATCH	0.00
FMA9411	segmental pulmonary vein	Сегментарный лёгочный вена			NO_MATCH	0.00
FMA9413	subsegmental pulmonary vein	Субсегментарный лёгочный вена			NO_MATCH	0.00
FMA9419	subsegmental part of lateral segmental vein	Субсегментарный часть латеральная сегментарный вена			NO_MATCH	0.00
FMA9421	subsegmental part of medial segmental vein	Субсегментарный часть медиальная сегментарный вена			NO_MATCH	0.00
FMA9422	right medial basal segmental vein	Правый медиальная базальная сегментарный вена			NO_MATCH	0.00
FMA9425	right lateral basal segmental vein	Правый латеральная базальная сегментарный вена			NO_MATCH	0.00
FMA9428	right posterior basal segmental vein	Правый задняя базальная сегментарный вена			NO_MATCH	0.00
FMA9437	left apical segmental vein	Левый верхушечная сегментарный вена			NO_MATCH	0.00
FMA9438	left posterior segmental vein	Левый задняя сегментарный вена			NO_MATCH	0.00
FMA9450	left lateral basal segmental vein	Левый латеральная базальная сегментарный вена			NO_MATCH	0.00
FMA9451	left posterior basal segmental vein	Левый задняя базальная сегментарный вена			NO_MATCH	0.00
FMA9457	wall of right atrium	Стенка правого предсердия			NO_MATCH	0.00
FMA9464	cavity of cardiac chamber	Полость камеры сердца			NO_MATCH	0.00
FMA9465	cavity of left atrium	Полость левого предсердия			NO_MATCH	0.00
FMA9466	cavity of left ventricle	Полость левого желудочка			NO_MATCH	0.00
FMA9531	wall of left atrium	Стенка левого предсердия			NO_MATCH	0.00
FMA9597	salivary gland	Слюнная железа			NO_MATCH	0.00
FMA9600	prostate	Предстательная железа	prostata	prostate	EXACT	1.00
FMA9604	adrenal gland	Надпочечник	glandula suprarenalis	suprarenal gland	EXACT	1.00
FMA9611	femur	Бедренная кость	os femoris	femur	EXACT	1.00
FMA9612	metacarpal bone	Пястная кость кость	os metacarpi	metacarpal bone	EXACT	1.00
FMA9613	parietal bone	Теменная кость	os parietale	parietal bone	EXACT	1.00
FMA9615	cricoid cartilage	Перстневидный хрящ	cartilago cricoidea	cricoid cartilage	EXACT	1.00
FMA9616	muscle of head	Мышца головка			NO_MATCH	0.00
FMA9617	muscle of neck	Мышца шейка			NO_MATCH	0.00
FMA9619	muscle of thorax	Мышца грудная клетка			NO_MATCH	0.00
FMA9620	muscle of abdomen	Мышца живот			NO_MATCH	0.00
FMA9621	muscle of upper limb	Мышца верхняя конечность			NO_MATCH	0.00
FMA9622	muscle of lower limb	Мышца нижняя конечность			NO_MATCH	0.00
FMA9623	perineal muscle	Промежностная мышца			NO_MATCH	0.00
FMA9625	stylohyoid	Шилоподъязычная			NO_MATCH	0.00
FMA9629	supraspinatus	Надостная			NO_MATCH	0.00
FMA9637	portion of tissue	Часть ткань			NO_MATCH	0.00
FMA9640	portion of connective tissue	Часть соединительная ткань			NO_MATCH	0.00
FMA9649	decussation	Перекрёст			NO_MATCH	0.00
FMA9657	anatomical line	Анатомическая линия			NO_MATCH	0.00
FMA9703	nasolacrimal duct	Носослёзный проток	ductus nasolacrimalis	nasolacrimal duct	EXACT	1.00
FMA9704	ureter	Мочеточник	ureter	ureter	EXACT	1.00
