conceptId	en	current_ru	problem_types	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA8644	left medial basal segmental artery	Левый медиальная базальная сегментарный артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая медиальная базальная сегментарный артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA8646	left lateral basal segmental artery	Левый латеральная базальная сегментарный артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая латеральная базальная сегментарный артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9422	right medial basal segmental vein	Правый медиальная базальная сегментарный вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая медиальная базальная сегментарный вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9425	right lateral basal segmental vein	Правый латеральная базальная сегментарный вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая латеральная базальная сегментарный вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9437	left apical segmental vein	Левый верхушечная сегментарный вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая верхушечная сегментарный вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9450	left lateral basal segmental vein	Левый латеральная базальная сегментарный вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая латеральная базальная сегментарный вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9761	right transversus thoracis	Правый поперечная мышца груди	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая поперечная мышца груди	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA9762	left transversus thoracis	Левый поперечная мышца груди	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая поперечная мышца груди	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10552	left dorsal scapular artery	Левый тыльная лопаточная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria dorsalis scapulae	dorsal scapular artery	APPLY	HIGH	Левая тыльная лопаточная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10660	right deep cervical artery	Правый глубокая шейная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria cervicalis profunda	deep cervical artery	APPLY	HIGH	Правая глубокая шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10682	left transverse cervical artery	Левый поперечная шейная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria transversa colli	transverse cervical artery	APPLY	HIGH	Левая поперечная шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10683	left superficial cervical artery	Левый поверхностная шейная артерия	LATERALITY|GRAMMAR	PROBABLE	ramus superficialis arteriae transversae colli	superficial branch of transverse cervical artery	APPLY	HIGH	Левая поверхностная шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10699	right transverse cervical artery	Правый поперечная шейная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria transversa colli	transverse cervical artery	APPLY	HIGH	Правая поперечная шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA10700	right superficial cervical artery	Правый поверхностная шейная артерия	LATERALITY|GRAMMAR	PROBABLE	ramus superficialis arteriae transversae colli	superficial branch of transverse cervical artery	APPLY	HIGH	Правая поверхностная шейная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13325	right cephalic vein	Правый латеральная подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena cephalica	cephalic vein	APPLY	HIGH	Правая латеральная подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13326	left cephalic vein	Левый латеральная подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena cephalica	cephalic vein	APPLY	HIGH	Левая латеральная подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13330	right axillary vein	Правый подмышечная вена	LATERALITY|GRAMMAR	PROBABLE	vena axillaris	axillary vein	APPLY	HIGH	Правая подмышечная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13331	left axillary vein	Левый подмышечная вена	LATERALITY|GRAMMAR	PROBABLE	vena axillaris	axillary vein	APPLY	HIGH	Левая подмышечная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13336	right external oblique	Правый наружная косая мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая наружная косая мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13337	left external oblique	Левый наружная косая мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая наружная косая мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13375	right pectoralis minor	Правый грудная мышца малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая грудная мышца малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13376	left pectoralis minor	Левый грудная мышца малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая грудная мышца малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13381	right rhomboid major	Правый ромбовидная мышца большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ромбовидная мышца большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13382	left rhomboid major	Левый ромбовидная мышца большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ромбовидная мышца большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13383	right rhomboid minor	Правый ромбовидная мышца малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ромбовидная мышца малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13384	left rhomboid minor	Левый ромбовидная мышца малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ромбовидная мышца малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13388	right scalenus posterior	Правый лестничная мышца задняя	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая лестничная мышца задняя	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13389	left scalenus posterior	Левый лестничная мышца задняя	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая лестничная мышца задняя	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13390	right scalenus medius	Правый лестничная мышца мэдиус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая лестничная мышца мэдиус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13391	left scalenus medius	Левый лестничная мышца мэдиус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая лестничная мышца мэдиус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13392	right scalenus anterior	Правый лестничная мышца передняя	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая лестничная мышца передняя	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13393	left scalenus anterior	Левый лестничная мышца передняя	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая лестничная мышца передняя	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13411	left subclavius	Левый подключичная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая подключичная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13412	right subclavius	Правый подключичная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая подключичная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13414	right subscapularis	Правый подлопаточная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая подлопаточная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13415	left subscapularis	Левый подлопаточная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая подлопаточная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA13912	ventricular branch of right coronary artery	Желудочковая ветвь правый коронарная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Желудочковая ветвь правой коронарной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14752	right renal artery	Правый почечная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria renalis	renal artery	APPLY	HIGH	Правая почечная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14753	left renal artery	Левый почечная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria renalis	renal artery	APPLY	HIGH	Левая почечная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14759	right testicular artery	Правый яичковая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria testicularis	testicular artery	APPLY	HIGH	Правая яичковая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14760	left testicular artery	Левый яичковая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria testicularis	testicular artery	APPLY	HIGH	Левая яичковая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14765	right common iliac artery	Правый общая подвздошная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria iliaca communis	common iliac artery	APPLY	HIGH	Правая общая подвздошная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA14766	left common iliac artery	Левый общая подвздошная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria iliaca communis	common iliac artery	APPLY	HIGH	Левая общая подвздошная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15414	right portal vein	Правый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая воротная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15415	left portal vein	Левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая воротная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15423	posterior superior segmental branch of right portal vein	Задняя верхняя сегментарный ветвь правый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задняя верхняя сегментарный ветвь правой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15424	posterior inferior segmental branch of right portal vein	Задняя нижняя сегментарный ветвь правый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задняя нижняя сегментарный ветвь правой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15425	caudate lobe branch of left portal vein	Хвостатая доля ветвь левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Хвостатая доля ветвь левой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15428	medial superior segmental branch of left portal vein	Медиальная верхняя сегментарный ветвь левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Медиальная верхняя сегментарный ветвь левой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15429	medial inferior segmental branch of left portal vein	Медиальная нижняя сегментарный ветвь левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Медиальная нижняя сегментарный ветвь левой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15431	lateral superior segmental branch of left portal vein	Латеральная верхняя сегментарный ветвь левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральная верхняя сегментарный ветвь левой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15432	lateral inferior segmental branch of left portal vein	Латеральная нижняя сегментарный ветвь левый воротная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральная нижняя сегментарный ветвь левой воротной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15791	tributary of right hepatic vein	Приток правый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Приток правой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15794	tributary of left hepatic vein	Приток левый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Приток левой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15796	posterior superior segmental tributary of right hepatic vein	Задняя верхняя сегментарный приток правый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задняя верхняя сегментарный приток правой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15797	posterior inferior segmental tributary of right hepatic vein	Задняя нижняя сегментарный приток правый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Задняя нижняя сегментарный приток правой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15802	medial superior segmental tributary of left hepatic vein	Медиальная верхняя сегментарный приток левый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Медиальная верхняя сегментарный приток левой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15803	lateral superior segmental tributary of left hepatic vein	Латеральная верхняя сегментарный приток левый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральная верхняя сегментарный приток левой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA15804	lateral inferior segmental tributary of left hepatic vein	Латеральная нижняя сегментарный приток левый печёночная вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Латеральная нижняя сегментарный приток левой печёночной вены	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA16586	right hip bone	Правый тазобедренная область кость	LATERALITY|GRAMMAR	PROBABLE	os coxae	hip bone	APPLY	HIGH	Правая тазобедренная область кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA16587	left hip bone	Левый тазобедренная область кость	LATERALITY|GRAMMAR	PROBABLE	os coxae	hip bone	APPLY	HIGH	Левая тазобедренная область кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18806	right external iliac artery	Правый наружная подвздошная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria iliaca externa	external iliac artery	APPLY	HIGH	Правая наружная подвздошная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18807	left external iliac artery	Левый наружная подвздошная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria iliaca externa	external iliac artery	APPLY	HIGH	Левая наружная подвздошная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18885	right external iliac vein	Правый наружная подвздошная вена	LATERALITY|GRAMMAR	PROBABLE	vena iliaca externa	external iliac vein	APPLY	HIGH	Правая наружная подвздошная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18886	left external iliac vein	Левый наружная подвздошная вена	LATERALITY|GRAMMAR	PROBABLE	vena iliaca externa	external iliac vein	APPLY	HIGH	Левая наружная подвздошная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18906	right lateral sacral vein	Правый латеральная крестцовая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая латеральная крестцовая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA18907	left lateral sacral vein	Левый латеральная крестцовая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая латеральная крестцовая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20735	right superficial epigastric artery	Правый поверхностная надчревная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria epigastrica superficialis	superficial epigastric artery	APPLY	HIGH	Правая поверхностная надчревная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20736	left superficial epigastric artery	Левый поверхностная надчревная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria epigastrica superficialis	superficial epigastric artery	APPLY	HIGH	Левая поверхностная надчревная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20801	right lateral circumflex femoral artery	Правый латеральная огибающая бедренная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria circumflexa lateralis femoris	lateral circumflex femoral artery	APPLY	HIGH	Правая латеральная огибающая бедренная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20802	left lateral circumflex femoral artery	Левый латеральная огибающая бедренная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria circumflexa lateralis femoris	lateral circumflex femoral artery	APPLY	HIGH	Левая латеральная огибающая бедренная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20818	right dorsal artery of penis	Правый тыльная артерия половой член	LATERALITY|GRAMMAR	PROBABLE	arteria dorsalis penis	dorsal artery of penis	APPLY	HIGH	Правая тыльная артерия половой член	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA20819	left dorsal artery of penis	Левый тыльная артерия половой член	LATERALITY|GRAMMAR	PROBABLE	arteria dorsalis penis	dorsal artery of penis	APPLY	HIGH	Левая тыльная артерия половой член	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21188	right femoral vein	Правый бедренная вена	LATERALITY|GRAMMAR	PROBABLE	vena femoralis	femoral vein	APPLY	HIGH	Правая бедренная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21189	left femoral vein	Левый бедренная вена	LATERALITY|GRAMMAR	PROBABLE	vena femoralis	femoral vein	APPLY	HIGH	Левая бедренная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21379	right great saphenous vein	Правый большая подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena saphena magna	great saphenous vein	APPLY	HIGH	Правая большая подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21380	left great saphenous vein	Левый большая подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena saphena magna	great saphenous vein	APPLY	HIGH	Левая большая подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21385	right superficial dorsal vein of penis	Правый поверхностная тыльная вена половой член	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая поверхностная тыльная вена половой член	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21386	left superficial dorsal vein of penis	Левый поверхностная тыльная вена половой член	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая поверхностная тыльная вена половой член	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21387	right common iliac vein	Правый общая подвздошная вена	LATERALITY|GRAMMAR	PROBABLE	vena iliaca communis	common iliac vein	APPLY	HIGH	Правая общая подвздошная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21388	left common iliac vein	Левый общая подвздошная вена	LATERALITY|GRAMMAR	PROBABLE	vena iliaca communis	common iliac vein	APPLY	HIGH	Левая общая подвздошная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21422	descending branch of right lateral circumflex femoral artery	Нисходящая ветвь правый латеральная огибающая бедренная артерия	LATERALITY|GRAMMAR	PROBABLE	ramus descendens arteriae circumflexae lateralis femoris	descending branch of lateral circumflex femoral artery	APPLY	HIGH	Нисходящая ветвь правой латеральной огибающой бедренной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21423	descending branch of left lateral circumflex femoral artery	Нисходящая ветвь левый латеральная огибающая бедренная артерия	LATERALITY|GRAMMAR	PROBABLE	ramus descendens arteriae circumflexae lateralis femoris	descending branch of lateral circumflex femoral artery	APPLY	HIGH	Нисходящая ветвь левой латеральной огибающой бедренной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA21521	trunk of branch of left colic artery	Туловище ветвь левый ободочная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Туловище ветвь левой ободочной артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22328	right gluteus maximus	Правый ягодичная мышца максимус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ягодичная мышца максимус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22329	left gluteus maximus	Левый ягодичная мышца максимус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ягодичная мышца максимус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22330	right gluteus medius	Правый ягодичная мышца мэдиус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ягодичная мышца мэдиус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22331	left gluteus medius	Левый ягодичная мышца мэдиус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ягодичная мышца мэдиус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22332	right gluteus minimus	Правый ягодичная мышца минимус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ягодичная мышца минимус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22333	left gluteus minimus	Левый ягодичная мышца минимус	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ягодичная мышца минимус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22354	right sartorius	Правый портняжная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая портняжная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
